prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,14.1337
0,0,1,32,14.1127
0,0,1,64,14.209
0,0,1,128,19.1793
0,0,1,256,19.5203
0,0,1,512,20.011
0,0,1,1024,20.7157
0,0,1,2048,22.3793
0,0,1,4096,25.5043
0,0,1,8192,32.3627
0,0,1,16384,38.2837
0,0,1,32768,68.6307
0,0,2,16,14.0373
0,0,2,32,14.0803
0,0,2,64,14.1547
0,0,2,128,19.306
0,0,2,256,19.3707
0,0,2,512,19.9047
0,0,2,1024,20.7897
0,0,2,2048,23.0193
0,0,2,4096,27.3077
0,0,2,8192,41.857
0,0,2,16384,56.353
0,0,2,32768,88.6943
0,0,4,16,13.9843
0,0,4,32,14.0263
0,0,4,64,14.0903
0,0,4,128,19.1683
0,0,4,256,19.414
0,0,4,512,19.9787
0,0,4,1024,21.4933
0,0,4,2048,25.1207
0,0,4,4096,36.8
0,0,4,8192,51.3817
0,0,4,16384,80.6627
0,0,4,32768,131.054
0,0,8,16,14.0267
0,0,8,32,14.0267
0,0,8,64,14.134
0,0,8,128,19.2427
0,0,8,256,19.8193
0,0,8,512,20.9393
0,0,8,1024,23.8833
0,0,8,2048,34.2833
0,0,8,4096,49.0563
0,0,8,8192,75.9583
0,0,8,16384,126.348
0,0,8,32768,214.158
0,0,16,16,14.1983
0,0,16,32,14.2183
0,0,16,64,14.39
0,0,16,128,19.691
0,0,16,256,20.4917
0,0,16,512,23.1587
0,0,16,1024,33.2057
0,0,16,2048,47.8413
0,0,16,4096,73.6223
0,0,16,8192,124.097
0,0,16,16384,211.31
0,0,16,32768,385.628
0,0,32,16,14.251
0,0,32,32,14.3887
0,0,32,64,14.784
0,0,32,128,20.7797
0,0,32,256,27.819
0,0,32,512,32.9493
0,0,32,1024,48.2787
0,0,32,2048,73.889
0,0,32,4096,112.269
0,0,32,8192,189.635
0,0,32,16384,352.827
0,0,32,32768,678.698
0,0,64,16,14.485
0,0,64,32,14.9127
0,0,64,64,15.4353
0,0,64,128,29.1737
0,0,64,256,40.8113
0,0,64,512,53.0463
0,0,64,1024,76.865
0,0,64,2048,126.669
0,0,64,4096,204.888
0,0,64,8192,357.52
0,0,64,16384,686.122
0,0,64,32768,1338.31
0,0,128,16,23.1577
0,0,128,32,23.7337
0,0,128,64,24.9717
0,0,128,128,35.8403
0,0,128,256,49.739
0,0,128,512,88.5667
0,0,128,1024,131.736
0,0,128,2048,217.816
0,0,128,4096,381.317
0,0,128,8192,695.573
0,0,128,16384,1347.41
0,0,128,32768,2649.61
0,0,256,16,39.1667
0,0,256,32,39.4017
0,0,256,64,40.341
0,0,256,128,62.751
0,0,256,256,88.617
0,0,256,512,140.392
0,0,256,1024,241.714
0,0,256,2048,440.206
0,0,256,4096,844.604
0,0,256,8192,1638.22
0,0,256,16384,3236.84
0,0,256,32768,6422.34
16,0,0,0,14.293
16,0,1,16,14.058
16,0,1,32,14.0907
16,0,1,64,14.08
16,0,1,128,19.2203
16,0,1,256,25.0347
16,0,1,512,36.746
16,0,1,1024,60.4897
16,0,1,2048,107.892
16,0,1,4096,203.218
16,0,1,8192,396.676
16,0,1,16384,784.287
16,0,1,32768,1560.8
16,0,2,16,14.048
16,0,2,32,14.016
16,0,2,64,14.0583
16,0,2,128,19.2097
16,0,2,256,25.0667
16,0,2,512,36.7777
16,0,2,1024,60.713
16,0,2,2048,109.257
16,0,2,4096,205.874
16,0,2,8192,400.154
16,0,2,16384,788.084
16,0,2,32768,1561.24
16,0,4,16,13.771
16,0,4,32,13.7063
16,0,4,64,13.7597
16,0,4,128,18.9657
16,0,4,256,24.7997
16,0,4,512,36.7777
16,0,4,1024,61.29
16,0,4,2048,110.068
16,0,4,4096,207.346
16,0,4,8192,401.807
16,0,4,16384,788.308
16,0,4,32768,1560.14
16,0,8,16,13.9413
16,0,8,32,14.069
16,0,8,64,14.1113
16,0,8,128,19.2107
16,0,8,256,25.1413
16,0,8,512,37.2263
16,0,8,1024,61.898
16,0,8,2048,110.761
16,0,8,4096,207.975
16,0,8,8192,401.903
16,0,8,16384,790.122
16,0,8,32768,1564.6
16,0,16,16,14.1443
16,0,16,32,14.1433
16,0,16,64,14.186
16,0,16,128,19.232
16,0,16,256,25.162
16,0,16,512,37.258
16,0,16,1024,62.5267
16,0,16,2048,111.583
16,0,16,4096,209.245
16,0,16,8192,404.249
16,0,16,16384,793.642
16,0,16,32768,1569.21
16,0,32,16,22.1857
16,0,32,32,22.3997
16,0,32,64,22.9227
16,0,32,128,33.2583
16,0,32,256,45.643
16,0,32,512,69.8763
16,0,32,1024,119.89
16,0,32,2048,217.469
16,0,32,4096,411.94
16,0,32,8192,801.898
16,0,32,16384,1578.66
16,0,32,32768,3132.28
16,0,64,16,38.09
16,0,64,32,38.2397
16,0,64,64,38.88
16,0,64,128,60.394
16,0,64,256,85.7907
16,0,64,512,134.846
