regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,58.081,80.833,77.856,0.8692
pure,2,1,0.5,4.0,0,0,512,2048,1280,155.97,230.21,224.033,0.9168
mixed,2,1,0.5,4.0,16,0,128,512,320,95.392,133.472,104.002,0.2261
mixed,2,1,0.5,4.0,16,0,512,2048,1280,210.306,283.011,261.729,0.7073
mixed,2,1,0.5,4.0,16,512,128,512,320,129.186,148.608,142.977,0.7101
mixed,2,1,0.5,4.0,16,512,512,2048,1280,290.625,431.044,294.561,0.028
mixed,2,1,0.5,4.0,16,2048,128,512,320,271.49,295.842,286.498,0.6163
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,377.092,454.085,426.882,0.6467
mixed,2,1,0.5,4.0,64,0,128,512,320,97.697,142.977,106.625,0.1972
mixed,2,1,0.5,4.0,64,0,512,2048,1280,220.834,294.274,276.034,0.7516
mixed,2,1,0.5,4.0,64,512,128,512,320,134.721,154.814,145.922,0.5575
mixed,2,1,0.5,4.0,64,512,512,2048,1280,297.505,438.243,302.852,0.038
mixed,2,1,0.5,4.0,64,2048,128,512,320,273.922,304.131,286.626,0.4205
mixed,2,1,0.5,4.0,64,2048,512,2048,1280,386.402,460.514,426.917,0.5467
mixed,2,1,0.5,4.0,256,0,128,512,320,150.816,184.993,172.834,0.6442
mixed,2,1,0.5,4.0,256,0,512,2048,1280,307.586,435.14,341.059,0.2624
mixed,2,1,0.5,4.0,256,512,128,512,320,259.041,262.178,258.242,-0.2547
mixed,2,1,0.5,4.0,256,512,512,2048,1280,385.027,520.74,451.492,0.4897
mixed,2,1,0.5,4.0,256,2048,128,512,320,599.685,665.989,626.372,0.4025
mixed,2,1,0.5,4.0,256,2048,512,2048,1280,685.381,686.758,683.653,-1.2549
mixed,2,1,0.5,4.0,1024,0,128,512,320,694.981,717.606,701.286,0.2787
mixed,2,1,0.5,4.0,1024,0,512,2048,1280,818.47,944.103,876.967,0.4656
mixed,2,1,0.5,4.0,1024,512,128,512,320,1089.48,1108.425,1091.398,0.1012
mixed,2,1,0.5,4.0,1024,512,512,2048,1280,1174.633,1300.361,1230.408,0.4436
mixed,2,1,0.5,4.0,1024,2048,128,512,320,2239.057,2272.689,2244.848,0.1722
