layer,sequences,time_us
lm_head,1,428.185
lm_head,2,405.028
lm_head,3,409.892
lm_head,4,412.516
lm_head,5,412.163
lm_head,6,412.122
lm_head,7,413.796
lm_head,8,414.756
lm_head,9,414.638
lm_head,10,415.983
lm_head,11,416.857
lm_head,12,417.518
lm_head,13,416.004
lm_head,14,416.974
lm_head,15,417.304
lm_head,16,416.772
lm_head,20,394.371
lm_head,24,396.11
lm_head,28,395.961
lm_head,32,457.838
lm_head,36,460.643
lm_head,40,461.092
lm_head,44,461.369
lm_head,48,598.299
lm_head,52,597.808
lm_head,56,598.096
lm_head,60,597.669
lm_head,64,598.033
lm_head,80,793.521
lm_head,96,793.692
lm_head,112,794.343
lm_head,128,794.865
lm_head,144,1185.04
lm_head,160,1185.61
lm_head,176,1185.73
lm_head,192,1570.99
lm_head,208,1571.5
lm_head,224,1361.46
lm_head,240,1363.04
lm_head,256,1364.63
lm_head,272,2068.79
lm_head,288,2069.61
lm_head,304,2070.11
lm_head,320,2071.08
lm_head,336,2071.38
lm_head,352,2071.86
lm_head,368,2072.98
lm_head,384,2073.42
lm_head,400,2954.1
lm_head,416,2954.72
lm_head,432,2955.18
lm_head,448,2955.67
lm_head,464,2956.7
lm_head,480,2956.63
lm_head,496,2957.12
lm_head,512,2958.13
lm_head,528,3204.81
lm_head,544,3205.71
lm_head,560,3206.31
lm_head,576,3206.33
lm_head,592,3841.12
lm_head,608,3841.4
lm_head,624,3841.37
lm_head,640,3842.67
lm_head,656,3942.37
lm_head,672,3942.6
lm_head,688,3943.02
lm_head,704,3944.17
lm_head,720,3944.48
lm_head,736,3847.34
lm_head,752,3847.82
lm_head,768,3849.31
lm_head,784,3946.31
lm_head,800,4727.4
lm_head,816,4728.22
lm_head,832,4729.18
lm_head,848,4729.6
lm_head,864,4730.3
lm_head,880,4730.64
lm_head,896,4732.54
lm_head,912,4683.13
lm_head,928,4684.35
lm_head,944,4685.23
lm_head,960,4684.85
lm_head,976,5419.61
lm_head,984,5614.05
sampler,1,16.01
sampler,2,17.9847
sampler,3,17.9303
sampler,4,18.0377
sampler,5,18.176
sampler,6,18.3047
sampler,7,18.1873
sampler,8,18.1757
sampler,9,18.112
sampler,10,18.24
sampler,11,18.4967
sampler,12,18.4533
sampler,13,18.2827
sampler,14,18.4333
sampler,15,18.774
sampler,16,19.829
sampler,20,20.3423
sampler,24,20.5337
sampler,28,21.0027
sampler,32,22.742
sampler,36,24.2133
sampler,40,25.6427
sampler,44,27.637
sampler,48,29.5897
sampler,52,30.5493
sampler,56,31.5093
sampler,60,32.8213
sampler,64,34.5923
sampler,80,40.491
sampler,96,46.923
sampler,112,53.5897
sampler,128,60.034
sampler,144,66.539
sampler,160,72.6197
sampler,176,78.9767
sampler,192,85.964
sampler,208,92.1713
sampler,224,98.305
sampler,240,104.588
sampler,256,120.726
sampler,272,123.873
sampler,288,129.302
sampler,304,133.826
sampler,320,139.009
sampler,336,144.374
sampler,352,150.049
sampler,368,156.065
sampler,384,161.794
sampler,400,168.322
sampler,416,174.775
sampler,432,181.399
sampler,448,186.818
sampler,464,193.1
sampler,480,198.518
sampler,496,212.119
sampler,512,217.1
sampler,528,223.085
sampler,544,226.722
sampler,560,231.959
sampler,576,237.25
sampler,592,242.925
sampler,608,248.77
sampler,624,254.786
sampler,640,260.44
sampler,656,266.968
sampler,672,273.112
sampler,688,278.936
sampler,704,284.802
sampler,720,290.743
sampler,736,296.76
sampler,752,308.12
sampler,768,314.018
sampler,784,318.818
sampler,800,323.619
sampler,816,328.601
sampler,832,333.613
sampler,848,339.523
sampler,864,345.827
sampler,880,351.726
sampler,896,357.666
sampler,912,363.8
sampler,928,369.411
sampler,944,375.224
sampler,960,381.07
sampler,976,387.448
sampler,984,391.096
