pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=984,sr>70%,kvB<=2k,kp=0,-0.0035,1
16,n<=128,sr<=15%,kvB<=1k,kp<=1k,0.0594,4
16,n<=128,sr<=15%,kvB<=1k,kp<=2k,0.0827,4
16,n<=128,sr<=15%,kvB<=1k,kp<=512,0.0521,4
16,n<=128,sr<=15%,kvB<=1k,kp=0,0.0517,4
16,n<=128,sr<=15%,kvB<=2k,kp<=1k,0.0406,2
16,n<=128,sr<=15%,kvB<=2k,kp<=2k,0.0303,2
16,n<=128,sr<=15%,kvB<=2k,kp<=512,0.0401,2
16,n<=128,sr<=15%,kvB<=2k,kp=0,0.0408,2
16,n<=128,sr<=40%,kvB<=1k,kp<=1k,0.0578,2
16,n<=128,sr<=40%,kvB<=1k,kp<=2k,0.0867,2
16,n<=128,sr<=40%,kvB<=1k,kp<=512,0.0406,2
16,n<=128,sr<=40%,kvB<=1k,kp=0,0.0449,2
16,n<=128,sr<=40%,kvB<=2k,kp<=1k,-0.0445,1
16,n<=128,sr<=40%,kvB<=2k,kp<=2k,-0.0416,1
16,n<=128,sr<=40%,kvB<=2k,kp<=512,-0.0359,1
16,n<=128,sr<=40%,kvB<=2k,kp=0,-0.0426,1
16,n<=128,sr<=5%,kvB<=1k,kp<=1k,0.0148,8
16,n<=128,sr<=5%,kvB<=1k,kp<=2k,0.0301,8
16,n<=128,sr<=5%,kvB<=1k,kp<=512,-0.002,8
16,n<=128,sr<=5%,kvB<=1k,kp=0,0.0003,8
16,n<=128,sr<=5%,kvB<=2k,kp<=1k,0.0319,4
16,n<=128,sr<=5%,kvB<=2k,kp<=2k,0.0251,4
16,n<=128,sr<=5%,kvB<=2k,kp<=512,0.0297,4
16,n<=128,sr<=5%,kvB<=2k,kp=0,0.0236,4
16,n<=128,sr<=70%,kvB<=1k,kp<=1k,-0.0473,2
16,n<=128,sr<=70%,kvB<=1k,kp<=2k,0.0697,2
16,n<=128,sr<=70%,kvB<=1k,kp<=512,-0.1127,2
16,n<=128,sr<=70%,kvB<=1k,kp=0,-0.1187,2
16,n<=128,sr<=70%,kvB<=2k,kp<=1k,-0.1375,1
16,n<=128,sr<=70%,kvB<=2k,kp<=2k,-0.1383,1
16,n<=128,sr<=70%,kvB<=2k,kp<=512,-0.1351,1
16,n<=128,sr<=70%,kvB<=2k,kp=0,-0.1363,1
16,n<=128,sr>70%,kvB<=1k,kp<=1k,0.0869,4
16,n<=128,sr>70%,kvB<=1k,kp<=2k,0.1417,4
16,n<=128,sr>70%,kvB<=1k,kp<=512,0.0563,4
16,n<=128,sr>70%,kvB<=1k,kp=0,0.0331,4
16,n<=128,sr>70%,kvB<=2k,kp<=1k,-0.2007,2
16,n<=128,sr>70%,kvB<=2k,kp<=2k,-0.1804,2
16,n<=128,sr>70%,kvB<=2k,kp<=512,-0.1841,2
16,n<=128,sr>70%,kvB<=2k,kp=0,-0.194,2
16,n<=16,sr<=15%,kvB<=1k,kp<=1k,0.1115,4
16,n<=16,sr<=15%,kvB<=1k,kp<=2k,0.0448,4
16,n<=16,sr<=15%,kvB<=1k,kp<=512,0.912,4
16,n<=16,sr<=15%,kvB<=1k,kp=0,0.9304,4
16,n<=16,sr<=15%,kvB<=2k,kp<=1k,0.9559,2
16,n<=16,sr<=15%,kvB<=2k,kp<=2k,0.4439,2
16,n<=16,sr<=15%,kvB<=2k,kp<=512,0.9729,2
16,n<=16,sr<=15%,kvB<=2k,kp=0,0.9765,2
16,n<=16,sr<=40%,kvB<=1k,kp<=1k,0.063,4
16,n<=16,sr<=40%,kvB<=1k,kp<=2k,0.0941,4
16,n<=16,sr<=40%,kvB<=1k,kp<=512,0.9168,4
16,n<=16,sr<=40%,kvB<=1k,kp=0,0.9243,4
16,n<=16,sr<=40%,kvB<=2k,kp<=1k,0.9502,2
16,n<=16,sr<=40%,kvB<=2k,kp<=2k,0.5895,2
16,n<=16,sr<=40%,kvB<=2k,kp<=512,0.9708,2
16,n<=16,sr<=40%,kvB<=2k,kp=0,0.9635,2
16,n<=16,sr<=70%,kvB<=1k,kp<=1k,-0.0235,2
16,n<=16,sr<=70%,kvB<=1k,kp<=2k,0.6622,2
