prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,12.844
0,0,1,32,12.8747
0,0,1,64,12.9923
0,0,1,128,18.369
0,0,1,256,24.1607
0,0,1,512,35.9903
0,0,1,1024,59.7353
0,0,1,2048,107.086
0,0,2,16,13.4083
0,0,2,32,13.4623
0,0,2,64,13.6003
0,0,2,128,19.1367
0,0,2,256,24.9923
0,0,2,512,37.2167
0,0,2,1024,61.5483
0,0,2,2048,110.19
0,0,4,16,13.4077
0,0,4,32,13.4827
0,0,4,64,13.6967
0,0,4,128,19.1043
0,0,4,256,24.9707
0,0,4,512,37.1743
0,0,4,1024,61.5167
0,0,4,2048,110.051
0,0,8,16,13.504
0,0,8,32,13.5583
0,0,8,64,14.1543
0,0,8,128,19.1893
0,0,8,256,25.0353
0,0,8,512,37.334
0,0,8,1024,61.9963
0,0,8,2048,111.107
0,0,16,16,13.6223
0,0,16,32,13.9637
0,0,16,64,14.5283
0,0,16,128,19.606
0,0,16,256,25.7823
0,0,16,512,39.0517
0,0,16,1024,63.702
0,0,16,2048,112.707
0,0,32,16,21.5257
0,0,32,32,21.995
0,0,32,64,23.062
0,0,32,128,34.0377
0,0,32,256,46.828
0,0,32,512,71.916
0,0,32,1024,122.019
0,0,32,2048,221.873
0,0,64,16,36.9613
0,0,64,32,37.2603
0,0,64,64,38.3793
0,0,64,128,60.353
0,0,64,256,85.7303
0,0,64,512,136.164
0,0,64,1024,236.786
0,0,64,2048,437.75
0,0,128,16,61.3457
0,0,128,32,62.178
0,0,128,64,64.0763
0,0,128,128,104.184
0,0,128,256,147.961
0,0,128,512,236.892
0,0,128,1024,417.227
0,0,128,2048,772.81
0,0,256,16,111.641
0,0,256,32,112.825
0,0,256,64,118.104
0,0,256,128,191.269
0,0,256,256,273.064
0,0,256,512,438.251
0,0,256,1024,767.646
0,0,256,2048,1424.99
0,0,512,16,214.299
0,0,512,32,220.294
0,0,512,64,224.934
0,0,512,128,370.719
0,0,512,256,531.011
0,0,512,512,850.742
0,0,512,1024,1491.47
0,0,512,2048,2770.23
0,0,984,16,406.72
0,0,984,32,410.762
0,0,984,64,418.72
0,0,984,128,695.473
0,0,984,256,997.71
0,0,984,512,1607.52
0,0,984,1024,2827.08
0,0,984,2048,5292.37
16,0,0,0,15.2747
16,0,1,16,15.104
16,0,1,32,15.0073
16,0,1,64,15.1363
16,0,1,128,19.9683
16,0,1,256,25.8777
16,0,1,512,37.8673
16,0,1,1024,61.89
16,0,1,2048,110.285
16,0,2,16,14.966
16,0,2,32,15.0197
16,0,2,64,15.041
16,0,2,128,19.9683
16,0,2,256,25.729
16,0,2,512,37.591
16,0,2,1024,61.8143
16,0,2,2048,110.829
16,0,4,16,14.763
16,0,4,32,14.7303
16,0,4,64,14.71
16,0,4,128,19.702
16,0,4,256,25.622
16,0,4,512,37.5153
16,0,4,1024,62.4113
16,0,4,2048,110.604
16,0,8,16,14.8807
16,0,8,32,14.8803
16,0,8,64,14.87
16,0,8,128,19.8087
16,0,8,256,25.8883
16,0,8,512,38.604
16,0,8,1024,62.7533
16,0,8,2048,111.107
16,0,16,16,14.9983
16,0,16,32,15.0293
16,0,16,64,15.2007
16,0,16,128,20.0857
16,0,16,256,26.507
16,0,16,512,39.937
16,0,16,1024,64.8757
16,0,16,2048,113.294
16,0,32,16,23.5103
16,0,32,32,23.787
16,0,32,64,24.2027
16,0,32,128,34.902
16,0,32,256,47.937
16,0,32,512,73.5697
16,0,32,1024,123.192
16,0,32,2048,223.451
16,0,64,16,39.5637
16,0,64,32,39.9267
16,0,64,64,40.3853
16,0,64,128,61.964
16,0,64,256,87.7353
16,0,64,512,137.816
16,0,64,1024,238.352
16,0,64,2048,439.968
16,0,128,16,64.4067
16,0,128,32,65.1643
16,0,128,64,66.455
16,0,128,128,106.562
16,0,128,256,150.745
16,0,128,512,238.864
16,0,128,1024,416.927
16,0,128,2048,773.895
16,0,256,16,116.099
16,0,256,32,117.742
16,0,256,64,122.573
16,0,256,128,195.929
16,0,256,256,278.641
16,0,256,512,444.053
16,0,256,1024,771.996
16,0,256,2048,1430.39
16,0,512,16,223.355
16,0,512,32,227.195
16,0,512,64,231.877
16,0,512,128,379.294
16,0,512,256,540.951
16,0,512,512,864.766
16,0,512,1024,1495.35
16,0,512,2048,2773.94
16,16,0,0,15.4887
16,16,1,16,15.0937
16,16,1,32,15.2003
16,16,1,64,15.2863
16,16,1,128,19.99
16,16,1,256,25.8133
16,16,1,512,37.7717
16,16,1,1024,62.028
16,16,1,2048,110.285
16,16,2,16,15.083
16,16,2,32,15.147
16,16,2,64,15.307
16,16,2,128,19.8937
16,16,2,256,25.7927
16,16,2,512,37.6333
16,16,2,1024,61.7297
16,16,2,2048,110.807
16,16,4,16,14.9123
16,16,4,32,14.9873
16,16,4,64,15.083
16,16,4,128,19.6483
16,16,4,256,25.6223
16,16,4,512,37.5797
16,16,4,1024,62.434
16,16,4,2048,110.509
16,16,8,16,15.019
16,16,8,32,15.0943
16,16,8,64,15.339
16,16,8,128,19.8403
16,16,8,256,25.8993
16,16,8,512,38.6147
16,16,8,1024,62.6577
16,16,8,2048,111.256
16,16,16,16,15.0623
16,16,16,32,15.072
16,16,16,64,15.35
16,16,16,128,20.065
16,16,16,256,26.656
16,16,16,512,39.5633
16,16,16,1024,64.5243
16,16,16,2048,113.4
16,16,32,16,23.5417
16,16,32,32,23.638
16,16,32,64,24.566
16,16,32,128,34.8913
16,16,32,256,47.6173
16,16,32,512,73.484
16,16,32,1024,123.256
16,16,32,2048,223.578
16,16,64,16,39.5213
16,16,64,32,39.9693
16,16,64,64,40.545
16,16,64,128,62.252
16,16,64,256,87.703
16,16,64,512,137.528
16,16,64,1024,238.693
16,16,64,2048,440.105
16,16,128,16,64.471
16,16,128,32,65.2603
16,16,128,64,66.892
16,16,128,128,106.626
16,16,128,256,150.712
16,16,128,512,239.536
16,16,128,1024,416.457
16,16,128,2048,774.182
16,16,256,16,116.13
16,16,256,32,117.474
16,16,256,64,122.957
16,16,256,128,195.833
16,16,256,256,278.406
16,16,256,512,443.593
16,16,256,1024,772.207
16,16,256,2048,1434.83
16,16,512,16,222.65
16,16,512,32,227.311
16,16,512,64,231.782
16,16,512,128,379.41
16,16,512,256,541.654
16,16,512,512,865.735
16,16,512,1024,1506.61
16,16,512,2048,2784.96
16,32,0,0,15.5523
16,32,1,16,15.148
16,32,1,32,15.221
16,32,1,64,15.35
16,32,1,128,20
16,32,1,256,25.8993
16,32,1,512,37.7823
16,32,1,1024,61.953
16,32,1,2048,110.285
16,32,2,16,15.0837
16,32,2,32,15.1253
16,32,2,64,15.3493
16,32,2,128,19.9793
16,32,2,256,25.8033
16,32,2,512,37.6757
16,32,2,1024,61.772
16,32,2,2048,110.658
16,32,4,16,14.923
16,32,4,32,14.944
16,32,4,64,15.147
16,32,4,128,19.723
16,32,4,256,25.728
16,32,4,512,37.548
16,32,4,1024,62.3687
16,32,4,2048,110.605
16,32,8,16,15.03
16,32,8,32,15.1897
16,32,8,64,15.35
16,32,8,128,19.8827
16,32,8,256,25.8557
16,32,8,512,38.6567
16,32,8,1024,62.7213
16,32,8,2048,111.394
16,32,16,16,15.1043
16,32,16,32,15.115
16,32,16,64,15.3817
16,32,16,128,20.1283
16,32,16,256,26.5613
16,32,16,512,39.9467
16,32,16,1024,64.577
16,32,16,2048,113.591
16,32,32,16,23.4673
16,32,32,32,23.7017
16,32,32,64,24.4167
16,32,32,128,34.7957
16,32,32,256,47.8837
16,32,32,512,73.58
16,32,32,1024,123.16
16,32,32,2048,223.268
16,32,64,16,39.6063
16,32,64,32,39.8623
16,32,64,64,40.6407
16,32,64,128,61.9747
16,32,64,256,87.5537
16,32,64,512,138.2
16,32,64,1024,238.596
16,32,64,2048,441.385
16,32,128,16,64.588
16,32,128,32,65.1637
