regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,100.671,103.491,103.297,0.9312
pure,2,1,0.5,4.0,0,0,512,2048,1280,108.639,114.912,114.111,0.8723
pure,2,1,0.5,4.0,0,0,2048,8192,5120,154.687,172.322,154.914,0.0129
pure,2,1,0.5,4.0,0,0,8192,32768,20480,238.948,306.754,263.716,0.3653
mixed,2,1,0.5,4.0,16,0,128,512,320,71.649,94.144,93.826,0.9859
mixed,2,1,0.5,4.0,16,0,512,2048,1280,165.184,236.991,235.552,0.98
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,522.499,806.883,805.187,0.994
mixed,2,1,0.5,4.0,16,0,8192,32768,20480,1943.684,3083.016,3085.191,1.0019
mixed,2,1,0.5,4.0,16,512,128,512,320,95.2,97.184,95.329,0.065
mixed,2,1,0.5,4.0,16,512,512,2048,1280,165.569,236.545,236.032,0.9928
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,521.794,806.434,804.962,0.9948
mixed,2,1,0.5,4.0,16,512,8192,32768,20480,1944.038,3086.056,3085.321,0.9994
mixed,2,1,0.5,4.0,16,2048,128,512,320,235.553,235.266,235.201,
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,235.968,238.238,236.866,0.3956
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,522.271,806.242,804.803,0.9949
mixed,2,1,0.5,4.0,16,2048,8192,32768,20480,1943.811,3090.757,3087.336,0.997
mixed,2,1,0.5,4.0,16,8192,128,512,320,799.329,798.722,799.105,
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,800.579,800.77,800.034,-2.8534
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,806.975,809.635,807.522,0.2056
mixed,2,1,0.5,4.0,16,8192,8192,32768,20480,1945.318,3089.128,3090.322,1.001
mixed,2,1,0.5,4.0,16,20480,128,512,320,1930.406,1930.405,1930.852,
mixed,2,1,0.5,4.0,16,20480,512,2048,1280,1932.646,1942.309,1931.395,-0.1295
mixed,2,1,0.5,4.0,16,20480,2048,8192,5120,1944.517,1943.014,1943.846,
mixed,2,1,0.5,4.0,16,20480,8192,32768,20480,1946.083,3088.999,3085.492,0.9969
mixed,2,1,0.5,4.0,64,0,128,512,320,72.962,95.905,95.36,0.9762
mixed,2,1,0.5,4.0,64,0,512,2048,1280,166.849,237.6,237.281,0.9955
mixed,2,1,0.5,4.0,64,0,2048,8192,5120,523.746,806.978,806.145,0.9971
mixed,2,1,0.5,4.0,64,0,8192,32768,20480,1944.322,3083.91,3083.236,0.9994
mixed,2,1,0.5,4.0,64,512,128,512,320,96.801,98.625,97.312,0.2802
mixed,2,1,0.5,4.0,64,512,512,2048,1280,166.816,238.208,236.962,0.9825
mixed,2,1,0.5,4.0,64,512,2048,8192,5120,522.655,806.177,805.856,0.9989
mixed,2,1,0.5,4.0,64,512,8192,32768,20480,1944.07,3081.703,3081.255,0.9996
mixed,2,1,0.5,4.0,64,2048,128,512,320,237.664,237.952,237.537,-0.441
mixed,2,1,0.5,4.0,64,2048,512,2048,1280,238.306,240.065,238.911,0.3439
mixed,2,1,0.5,4.0,64,2048,2048,8192,5120,522.433,807.01,806.21,0.9972
mixed,2,1,0.5,4.0,64,2048,8192,32768,20480,1947.62,3087.653,3082.947,0.9959
mixed,2,1,0.5,4.0,64,8192,128,512,320,800.705,801.409,799.841,-1.2273
mixed,2,1,0.5,4.0,64,8192,512,2048,1280,801.827,802.631,802.336,0.6331
mixed,2,1,0.5,4.0,64,8192,2048,8192,5120,808.674,812.317,808.511,-0.0447
mixed,2,1,0.5,4.0,64,8192,8192,32768,20480,1947.31,3088.229,3083.401,0.9958
mixed,2,1,0.5,4.0,64,20480,128,512,320,1931.14,1931.717,1931.205,0.1127
mixed,2,1,0.5,4.0,64,20480,512,2048,1280,1939.206,1944.164,1938.851,-0.0716
mixed,2,1,0.5,4.0,64,20480,2048,8192,5120,1945.901,1944.165,1945.443,
mixed,2,1,0.5,4.0,64,20480,8192,32768,20480,1949.222,3090.757,3085.0,0.995
mixed,2,1,0.5,4.0,256,0,128,512,320,76.031,97.441,97.408,0.9985
mixed,2,1,0.5,4.0,256,0,512,2048,1280,169.025,239.936,239.393,0.9923
mixed,2,1,0.5,4.0,256,0,2048,8192,5120,525.537,810.882,808.578,0.9919
mixed,2,1,0.5,4.0,256,0,8192,32768,20480,1950.82,3090.217,3087.848,0.9979
mixed,2,1,0.5,4.0,256,512,128,512,320,112.64,112.224,112.065,
mixed,2,1,0.5,4.0,256,512,512,2048,1280,168.992,240.386,240.065,0.9955
mixed,2,1,0.5,4.0,256,512,2048,8192,5120,524.833,810.051,808.095,0.9931
mixed,2,1,0.5,4.0,256,512,8192,32768,20480,1949.639,3090.981,3088.711,0.998
mixed,2,1,0.5,4.0,256,2048,128,512,320,254.016,253.665,253.729,
mixed,2,1,0.5,4.0,256,2048,512,2048,1280,254.465,253.919,253.857,
mixed,2,1,0.5,4.0,256,2048,2048,8192,5120,526.85,811.074,808.899,0.9923
mixed,2,1,0.5,4.0,256,2048,8192,32768,20480,1950.884,3093.54,3089.285,0.9963
mixed,2,1,0.5,4.0,256,8192,128,512,320,815.873,816.765,817.729,2.0807
mixed,2,1,0.5,4.0,256,8192,512,2048,1280,817.383,817.15,816.611,
mixed,2,1,0.5,4.0,256,8192,2048,8192,5120,819.969,822.113,821.984,0.9398
mixed,2,1,0.5,4.0,256,8192,8192,32768,20480,1952.005,3094.033,3090.791,0.9972
mixed,2,1,0.5,4.0,256,20480,128,512,320,1952.931,1953.861,1956.77,4.128
mixed,2,1,0.5,4.0,256,20480,512,2048,1280,1952.869,1960.45,1954.335,0.1934
mixed,2,1,0.5,4.0,256,20480,2048,8192,5120,1957.859,1961.583,1958.596,0.1979
mixed,2,1,0.5,4.0,256,20480,8192,32768,20480,1964.259,3097.608,3094.025,0.9968
mixed,2,1,0.5,4.0,1024,0,128,512,320,206.015,204.703,205.889,
mixed,2,1,0.5,4.0,1024,0,512,2048,1280,242.911,290.078,310.881,1.441
mixed,2,1,0.5,4.0,1024,0,2048,8192,5120,645.794,1091.267,873.379,0.5109
mixed,2,1,0.5,4.0,1024,0,8192,32768,20480,2279.717,3121.157,3218.853,1.1161
mixed,2,1,0.5,4.0,1024,512,128,512,320,277.279,277.762,277.536,0.5321
mixed,2,1,0.5,4.0,1024,512,512,2048,1280,278.305,339.999,312.161,0.5488
mixed,2,1,0.5,4.0,1024,512,2048,8192,5120,659.363,1101.475,879.33,0.4975
mixed,2,1,0.5,4.0,1024,512,8192,32768,20480,2629.765,3652.071,3119.142,0.4787
mixed,2,1,0.5,4.0,1024,2048,128,512,320,490.912,490.083,489.122,
mixed,2,1,0.5,4.0,1024,2048,512,2048,1280,490.336,492.415,491.264,0.4464
mixed,2,1,0.5,4.0,1024,2048,2048,8192,5120,723.745,1048.8,938.851,0.6618
mixed,2,1,0.5,4.0,1024,2048,8192,32768,20480,2085.178,3706.308,3176.008,0.6729
mixed,2,1,0.5,4.0,1024,8192,128,512,320,1340.831,1339.107,1341.795,
mixed,2,1,0.5,4.0,1024,8192,512,2048,1280,1337.025,1336.508,1337.57,
mixed,2,1,0.5,4.0,1024,8192,2048,8192,5120,1339.138,1338.722,1336.002,
mixed,2,1,0.5,4.0,1024,8192,8192,32768,20480,2598.37,3514.374,3475.205,0.9572
mixed,2,1,0.5,4.0,1024,20480,128,512,320,3037.813,3036.454,3040.23,
mixed,2,1,0.5,4.0,1024,20480,512,2048,1280,3035.78,3031.522,3033.715,
mixed,2,1,0.5,4.0,1024,20480,2048,8192,5120,3036.679,3036.067,3038.054,
mixed,2,1,0.5,4.0,1024,20480,8192,32768,20480,3068.261,4281.961,4113.766,0.8614
mixed,2,1,0.5,4.0,2048,0,128,512,320,397.731,418.433,404.129,0.3091
mixed,2,1,0.5,4.0,2048,0,512,2048,1280,424.065,435.489,431.905,0.6863
mixed,2,1,0.5,4.0,2048,0,2048,8192,5120,808.32,992.833,1076.289,1.4523
mixed,2,1,0.5,4.0,2048,0,8192,32768,20480,2965.223,3685.509,3667.209,0.9746
mixed,2,1,0.5,4.0,2048,512,128,512,320,526.945,533.442,540.961,2.1573
mixed,2,1,0.5,4.0,2048,512,512,2048,1280,541.954,568.673,527.236,-0.5508
mixed,2,1,0.5,4.0,2048,512,2048,8192,5120,883.618,1152.227,1111.971,0.8501
mixed,2,1,0.5,4.0,2048,512,8192,32768,20480,2963.048,4677.286,3370.021,0.2374
mixed,2,1,0.5,4.0,2048,2048,128,512,320,904.099,892.64,920.514,
mixed,2,1,0.5,4.0,2048,2048,512,2048,1280,956.672,947.808,960.931,
mixed,2,1,0.5,4.0,2048,2048,2048,8192,5120,1064.962,1391.299,1280.163,0.6594
mixed,2,1,0.5,4.0,2048,2048,8192,32768,20480,2846.567,4281.866,4250.248,0.978
mixed,2,1,0.5,4.0,2048,8192,128,512,320,2579.302,2583.301,2584.645,1.3361
mixed,2,1,0.5,4.0,2048,8192,512,2048,1280,2520.362,2529.571,2489.666,-3.3333
mixed,2,1,0.5,4.0,2048,8192,2048,8192,5120,2617.664,2621.417,2616.967,-0.1857
mixed,2,1,0.5,4.0,2048,8192,8192,32768,20480,3533.309,4631.338,4722.951,1.0834
mixed,2,1,0.5,4.0,2048,20480,128,512,320,4999.689,4999.851,4998.024,-10.2778
mixed,2,1,0.5,4.0,2048,20480,512,2048,1280,4988.235,5081.45,4993.449,0.0559
mixed,2,1,0.5,4.0,2048,20480,2048,8192,5120,5092.552,5091.496,5035.69,
mixed,2,1,0.5,4.0,2048,20480,8192,32768,20480,5044.934,6084.414,6015.244,0.9335
pure,8,1,0.125,4.0,0,0,128,512,176,100.863,106.368,103.073,0.4015
pure,8,1,0.125,4.0,0,0,512,2048,704,109.858,155.648,132.258,0.4892
pure,8,1,0.125,4.0,0,0,2048,8192,2816,169.761,267.872,190.976,0.2162
pure,8,1,0.125,4.0,0,0,8192,32768,11264,324.129,700.641,464.769,0.3735
mixed,8,1,0.125,4.0,16,0,128,512,176,61.728,96.736,94.624,0.9397
mixed,8,1,0.125,4.0,16,0,512,2048,704,109.824,240.544,237.664,0.978
mixed,8,1,0.125,4.0,16,0,2048,8192,2816,313.439,814.656,807.617,0.986
mixed,8,1,0.125,4.0,16,0,8192,32768,11264,1102.308,3103.142,3091.332,0.9941
mixed,8,1,0.125,4.0,16,512,128,512,176,94.913,98.272,95.072,0.0473
mixed,8,1,0.125,4.0,16,512,512,2048,704,110.144,240.992,237.824,0.9758
mixed,8,1,0.125,4.0,16,512,2048,8192,2816,312.928,815.137,808.288,0.9864
mixed,8,1,0.125,4.0,16,512,8192,32768,11264,1102.851,3111.494,3089.766,0.9892
mixed,8,1,0.125,4.0,16,2048,128,512,176,235.105,238.688,235.328,0.0622
mixed,8,1,0.125,4.0,16,2048,512,2048,704,238.465,242.689,239.489,0.2424
mixed,8,1,0.125,4.0,16,2048,2048,8192,2816,313.408,815.393,807.294,0.9839
