prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,13.2693
0,0,1,32,13.2903
0,0,1,64,13.525
0,0,1,128,18.9543
0,0,1,256,24.864
0,0,1,512,36.9497
0,0,1,1024,61.206
0,0,1,2048,109.707
0,0,2,16,13.5147
0,0,2,32,13.7387
0,0,2,64,14.027
0,0,2,128,19.2533
0,0,2,256,25.205
0,0,2,512,37.494
0,0,2,1024,62.0907
0,0,2,2048,110.849
0,0,4,16,13.6533
0,0,4,32,14.1867
0,0,4,64,14.6237
0,0,4,128,19.5947
0,0,4,256,25.9843
0,0,4,512,38.23
0,0,4,1024,63.574
0,0,4,2048,112.588
0,0,8,16,21.5147
0,0,8,32,22.059
0,0,8,64,23.125
0,0,8,128,33.7493
0,0,8,256,45.9743
0,0,8,512,70.9227
0,0,8,1024,121.494
0,0,8,2048,220.983
0,0,16,16,37.1413
0,0,16,32,37.6537
0,0,16,64,38.7523
0,0,16,128,60.0537
0,0,16,256,84.8747
0,0,16,512,132.705
0,0,16,1024,233.655
0,0,16,2048,430.968
0,0,32,16,60.4057
0,0,32,32,61.131
0,0,32,64,62.6557
0,0,32,128,100.833
0,0,32,256,143.713
0,0,32,512,229.473
0,0,32,1024,405.657
0,0,32,2048,751.312
0,0,64,16,107.659
0,0,64,32,108.908
0,0,64,64,111.318
0,0,64,128,183.553
0,0,64,256,263.554
0,0,64,512,425.667
0,0,64,1024,752.944
0,0,64,2048,1403.63
0,0,128,16,203.842
0,0,128,32,206.156
0,0,128,64,212.556
0,0,128,128,354.552
0,0,128,256,513.956
0,0,128,512,835.164
0,0,128,1024,1470.37
0,0,128,2048,2737.16
0,0,256,16,402.883
0,0,256,32,407.096
0,0,256,64,424.825
0,0,256,128,713.904
0,0,256,256,1026.95
0,0,256,512,1654.63
0,0,256,1024,2920.82
0,0,256,2048,5455.71
0,0,512,16,803.793
0,0,512,32,826.716
0,0,512,64,844.455
0,0,512,128,1420.6
0,0,512,256,2040.51
0,0,512,512,3290.12
0,0,512,1024,5837.27
0,0,512,2048,10948.1
0,0,984,16,1568.19
0,0,984,32,1578.96
0,0,984,64,1610.08
0,0,984,128,2711.25
0,0,984,256,3892.66
0,0,984,512,6271.59
0,0,984,1024,11134.8
0,0,984,2048,20925.7
16,0,0,0,15.1463
16,0,1,16,14.9763
16,0,1,32,15.029
16,0,1,64,14.9973
16,0,1,128,19.808
16,0,1,256,25.7073
16,0,1,512,37.6323
16,0,1,1024,61.814
16,0,1,2048,110.028
16,0,2,16,15.008
16,0,2,32,14.9977
16,0,2,64,14.9977
16,0,2,128,19.979
16,0,2,256,26.0273
16,0,2,512,37.8987
16,0,2,1024,62.1023
16,0,2,2048,110.561
16,0,4,16,15.2
16,0,4,32,15.2217
16,0,4,64,15.509
16,0,4,128,20.2343
16,0,4,256,26.838
16,0,4,512,39.1793
16,0,4,1024,63.542
16,0,4,2048,112.716
16,0,8,16,23.4453
16,0,8,32,23.7017
16,0,8,64,24.1703
16,0,8,128,34.2507
16,0,8,256,46.912
16,0,8,512,71.5413
16,0,8,1024,121.515
16,0,8,2048,220.225
16,0,16,16,39.4563
16,0,16,32,39.702
16,0,16,64,40.384
16,0,16,128,61.686
16,0,16,256,86.113
16,0,16,512,135.116
16,0,16,1024,234.647
16,0,16,2048,433.262
16,0,32,16,63.4137
16,0,32,32,64.4487
16,0,32,64,65.7073
16,0,32,128,103.393
16,0,32,256,146.71
16,0,32,512,232.534
16,0,32,1024,408.312
16,0,32,2048,756.134
16,0,64,16,112.46
16,0,64,32,113.718
16,0,64,64,116.257
16,0,64,128,188.151
16,0,64,256,269.773
16,0,64,512,431.78
16,0,64,1024,758.929
16,0,64,2048,1406.8
16,0,128,16,214.839
16,0,128,32,216.706
16,0,128,64,221.815
16,0,128,128,372.525
16,0,128,256,534.447
16,0,128,512,849.212
16,0,128,1024,1479.83
16,0,128,2048,2750.7
16,0,256,16,417.326
16,0,256,32,421.145
16,0,256,64,438.424
16,0,256,128,732.507
16,0,256,256,1048.72
16,0,256,512,1675.93
16,0,256,1024,2934.21
16,0,256,2048,5476.7
16,0,512,16,825.745
16,0,512,32,850.14
16,0,512,64,866.449
16,0,512,128,1452.52
16,0,512,256,2081.67
16,0,512,512,3330.43
16,0,512,1024,5859.72
16,0,512,2048,10969
16,16,0,0,15.36
16,16,1,16,15.147
16,16,1,32,15.2007
16,16,1,64,15.3817
16,16,1,128,19.872
16,16,1,256,25.718
16,16,1,512,37.6213
16,16,1,1024,61.8033
16,16,1,2048,109.942
16,16,2,16,15.1787
16,16,2,32,15.264
16,16,2,64,15.5837
16,16,2,128,19.9683
16,16,2,256,26.0477
16,16,2,512,38.0483
16,16,2,1024,62.198
16,16,2,2048,110.699
16,16,4,16,15.3817
16,16,4,32,15.6263
16,16,4,64,16.1817
16,16,4,128,20.2883
16,16,4,256,26.923
16,16,4,512,38.8693
16,16,4,1024,63.1787
16,16,4,2048,112.15
16,16,8,16,23.659
16,16,8,32,24.0323
16,16,8,64,24.9813
16,16,8,128,34.123
16,16,8,256,47.019
16,16,8,512,71.0087
16,16,8,1024,121.857
16,16,8,2048,221.325
16,16,16,16,39.5207
16,16,16,32,39.9683
