regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,106.402,110.757,108.455,0.4714
pure,2,1,0.5,4.0,0,0,1024,4096,2560,160.134,188.393,158.917,-0.0431
pure,2,1,0.5,4.0,0,0,8192,32768,20480,479.763,690.235,484.592,0.0229
mixed,2,1,0.5,4.0,16,0,128,512,320,77.283,98.947,97.219,0.9202
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,293.481,438.095,432.719,0.9628
mixed,2,1,0.5,4.0,16,0,8192,32768,20480,1966.215,3111.862,3103.146,0.9924
mixed,2,1,0.5,4.0,16,512,128,512,320,99.588,103.717,100.356,0.186
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,294.924,438.126,433.837,0.97
mixed,2,1,0.5,4.0,16,512,8192,32768,20480,1966.499,3113.481,3105.503,0.993
mixed,2,1,0.5,4.0,16,4096,128,512,320,434.0,435.854,433.166,-0.4498
mixed,2,1,0.5,4.0,16,4096,1024,4096,2560,437.166,441.521,438.19,0.2351
mixed,2,1,0.5,4.0,16,4096,8192,32768,20480,1965.666,3112.842,3102.824,0.9913
mixed,2,1,0.5,4.0,16,20480,128,512,320,1960.738,1961.06,1959.235,-4.6677
mixed,2,1,0.5,4.0,16,20480,1024,4096,2560,1962.915,1962.435,1963.171,
mixed,2,1,0.5,4.0,16,20480,8192,32768,20480,1973.987,3114.984,3105.99,0.9921
mixed,2,1,0.5,4.0,128,0,128,512,320,104.611,137.702,136.261,0.9565
mixed,2,1,0.5,4.0,128,0,1024,4096,2560,422.031,639.668,639.349,0.9985
mixed,2,1,0.5,4.0,128,0,8192,32768,20480,2942.112,4669.275,4654.684,0.9916
mixed,2,1,0.5,4.0,128,512,128,512,320,142.18,143.299,142.084,-0.0858
mixed,2,1,0.5,4.0,128,512,1024,4096,2560,424.011,638.359,637.525,0.9961
mixed,2,1,0.5,4.0,128,512,8192,32768,20480,2950.532,4669.242,4647.067,0.9871
mixed,2,1,0.5,4.0,128,4096,128,512,320,639.061,640.533,638.87,-0.1298
mixed,2,1,0.5,4.0,128,4096,1024,4096,2560,641.141,646.071,642.293,0.2337
mixed,2,1,0.5,4.0,128,4096,8192,32768,20480,2942.432,4690.683,4660.025,0.9825
mixed,2,1,0.5,4.0,128,20480,128,512,320,2919.201,2926.497,2915.072,-0.5659
mixed,2,1,0.5,4.0,128,20480,1024,4096,2560,2925.25,2925.824,2921.474,-6.5784
mixed,2,1,0.5,4.0,128,20480,8192,32768,20480,2953.92,4668.57,4662.712,0.9966
mixed,2,1,0.5,4.0,1024,0,128,512,320,399.854,402.604,401.579,0.6273
mixed,2,1,0.5,4.0,1024,0,1024,4096,2560,636.79,855.804,805.275,0.7693
mixed,2,1,0.5,4.0,1024,0,8192,32768,20480,3158.695,4903.295,4771.037,0.9242
mixed,2,1,0.5,4.0,1024,512,128,512,320,589.3,610.291,601.424,0.5776
mixed,2,1,0.5,4.0,1024,512,1024,4096,2560,776.763,1034.659,887.743,0.4303
mixed,2,1,0.5,4.0,1024,512,8192,32768,20480,3321.963,5073.271,4857.247,0.8766
mixed,2,1,0.5,4.0,1024,4096,128,512,320,2035.204,2043.268,2049.442,1.7656
mixed,2,1,0.5,4.0,1024,4096,1024,4096,2560,2057.699,2091.555,2061.603,0.1153
mixed,2,1,0.5,4.0,1024,4096,8192,32768,20480,4198.952,5999.587,5596.644,0.7762
mixed,2,1,0.5,4.0,1024,20480,128,512,320,7824.831,7878.075,7811.836,-0.2441
