layer,sequences,time_us
lm_head,1,724.43
lm_head,2,727.75
lm_head,3,728.722
lm_head,4,729.074
lm_head,5,731.221
lm_head,6,732
lm_head,7,734.58
lm_head,8,735.237
lm_head,9,738.334
lm_head,10,741.014
lm_head,11,743.736
lm_head,12,743.257
lm_head,13,745.212
lm_head,14,744.678
lm_head,15,745.877
lm_head,16,745.503
lm_head,20,775.536
lm_head,24,774.833
lm_head,28,777.042
lm_head,32,777.685
lm_head,36,783.015
lm_head,40,782.332
lm_head,44,786.927
lm_head,48,787.002
lm_head,52,791.168
lm_head,56,791.003
lm_head,60,791.99
lm_head,64,795.103
lm_head,80,824.701
lm_head,96,829.146
lm_head,112,835.301
lm_head,128,837.162
lm_head,144,1311.31
lm_head,160,1312.42
lm_head,176,1313.47
lm_head,192,1315.37
lm_head,208,1315.63
lm_head,224,1316.82
lm_head,240,1318.53
lm_head,256,1319.21
sampler,1,60.3707
sampler,2,61.4357
sampler,3,61.3297
sampler,4,61.0513
sampler,5,62.032
sampler,6,62.4063
sampler,7,66.1203
sampler,8,66.1193
sampler,9,66.792
sampler,10,67.335
sampler,11,67.431
sampler,12,68.018
sampler,13,68.497
sampler,14,71.1127
sampler,15,71.0037
sampler,16,72.4653
sampler,20,74.0447
sampler,24,77.0987
sampler,28,80.9947
sampler,32,88.391
sampler,36,96.5443
sampler,40,103.494
sampler,44,108.882
sampler,48,114.037
sampler,52,117.547
sampler,56,123.127
sampler,60,127.043
sampler,64,132.259
sampler,80,147.245
sampler,96,163.05
sampler,112,185.13
sampler,128,202.734
sampler,144,219.872
sampler,160,238.098
sampler,176,253.383
sampler,192,270.814
sampler,208,287.199
sampler,224,314.894
sampler,240,333.562
sampler,256,350.67
