layer,sequences,time_us
lm_head,1,225.004
lm_head,2,245.888
lm_head,3,247.393
lm_head,4,229.344
lm_head,5,229.622
lm_head,6,231.2
lm_head,7,231.819
lm_head,8,232.318
lm_head,9,233.309
lm_head,10,233.096
lm_head,11,233.799
lm_head,12,234.096
lm_head,13,235.024
lm_head,14,235.6
lm_head,15,235.704
lm_head,16,236.569
lm_head,20,236.93
lm_head,24,237.718
lm_head,28,238.561
lm_head,32,239.84
lm_head,36,241.525
lm_head,40,242.014
lm_head,44,242.514
lm_head,48,269.435
lm_head,52,271.985
lm_head,56,272.432
lm_head,60,272.804
lm_head,64,272.301
lm_head,80,275.501
lm_head,96,275.808
lm_head,112,277.908
lm_head,128,280.553
lm_head,144,418.591
lm_head,160,419.068
lm_head,176,419.791
lm_head,192,420.781
lm_head,208,421.183
lm_head,224,422.104
lm_head,240,422.581
lm_head,256,423.11
sampler,1,43.34
sampler,2,44.2163
sampler,3,44.1513
sampler,4,44.802
sampler,5,44.7267
sampler,6,44.995
sampler,7,45.1327
sampler,8,45.142
sampler,9,45.3017
sampler,10,45.975
sampler,11,45.814
sampler,12,49.3783
sampler,13,49.155
sampler,14,49.847
sampler,15,49.8903
sampler,16,50.4977
sampler,20,51.661
sampler,24,54.4463
sampler,28,55.0437
sampler,32,56.1107
sampler,36,58.6387
sampler,40,60.079
sampler,44,61.0603
sampler,48,63.365
sampler,52,65.0167
sampler,56,70.011
sampler,60,74.118
sampler,64,77.8313
sampler,80,89.8987
sampler,96,101.145
sampler,112,114.717
sampler,128,127.819
sampler,144,138.211
sampler,160,148.518
sampler,176,160.457
sampler,192,169.62
sampler,208,181.632
sampler,224,196.515
sampler,240,208.175
sampler,256,218.149
