prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,13.3223
0,0,1,32,13.3447
0,0,1,64,13.5573
0,0,1,128,18.9973
0,0,1,256,24.9497
0,0,1,512,37.0573
0,0,1,1024,61.312
0,0,1,2048,109.835
0,0,2,16,13.3977
0,0,2,32,13.4407
0,0,2,64,13.6003
0,0,2,128,19.0617
0,0,2,256,24.9283
0,0,2,512,37.1307
0,0,2,1024,61.483
0,0,2,2048,110.113
0,0,4,16,13.4403
0,0,4,32,13.6213
0,0,4,64,13.9737
0,0,4,128,19.1683
0,0,4,256,25.0347
0,0,4,512,37.3973
0,0,4,1024,61.9
0,0,4,2048,110.721
0,0,8,16,13.717
0,0,8,32,14.0377
0,0,8,64,14.7203
0,0,8,128,19.563
0,0,8,256,26.0057
0,0,8,512,38.059
0,0,8,1024,63.4247
0,0,8,2048,112.694
0,0,16,16,21.451
0,0,16,32,22.0483
0,0,16,64,23.061
0,0,16,128,33.6757
0,0,16,256,46.241
0,0,16,512,70.8487
0,0,16,1024,120.789
0,0,16,2048,220.674
0,0,32,16,36.9503
0,0,32,32,37.4197
0,0,32,64,38.421
0,0,32,128,60.395
0,0,32,256,84.566
0,0,32,512,134.273
0,0,32,1024,234.594
0,0,32,2048,432.632
0,0,64,16,60.5653
0,0,64,32,61.2917
0,0,64,64,62.7093
0,0,64,128,101.718
0,0,64,256,144.609
0,0,64,512,232.525
0,0,64,1024,409.006
0,0,64,2048,760.817
0,0,128,16,109.057
0,0,128,32,110.487
0,0,128,64,113.611
0,0,128,128,187.969
0,0,128,256,270.242
0,0,128,512,434.03
0,0,128,1024,763.494
0,0,128,2048,1422.25
0,0,256,16,208.514
0,0,256,32,211.404
0,0,256,64,221.89
0,0,256,128,367.235
0,0,256,256,525.679
0,0,256,512,842.385
0,0,256,1024,1480
0,0,256,2048,2747.11
0,0,512,16,410.723
0,0,512,32,422.126
0,0,512,64,431.47
0,0,512,128,720.709
0,0,512,256,1035.94
0,0,512,512,1665.78
0,0,512,1024,2941.12
0,0,512,2048,5493.93
0,0,984,16,794.641
0,0,984,32,799.451
0,0,984,64,815.334
0,0,984,128,1366.27
0,0,984,256,1962.06
0,0,984,512,3158.24
0,0,984,1024,5601.1
0,0,984,2048,10490.5
16,0,0,0,15.0937
16,0,1,16,14.6993
16,0,1,32,14.6663
16,0,1,64,14.7417
16,0,1,128,19.616
16,0,1,256,25.5467
16,0,1,512,37.4613
16,0,1,1024,61.6107
16,0,1,2048,109.878
16,0,2,16,14.6453
16,0,2,32,14.656
16,0,2,64,14.6453
16,0,2,128,19.712
16,0,2,256,25.6217
16,0,2,512,37.5253
16,0,2,1024,61.7497
16,0,2,2048,110.283
16,0,4,16,14.752
16,0,4,32,14.7627
16,0,4,64,14.7943
16,0,4,128,19.7867
16,0,4,256,25.6643
16,0,4,512,37.6643
16,0,4,1024,61.7927
16,0,4,2048,110.465
16,0,8,16,14.88
16,0,8,32,14.88
16,0,8,64,15.381
16,0,8,128,20.075
16,0,8,256,26.848
16,0,8,512,39.4777
16,0,8,1024,63.883
16,0,8,2048,112.897
16,0,16,16,23.2643
16,0,16,32,23.5517
16,0,16,64,24
16,0,16,128,34.3463
16,0,16,256,46.806
16,0,16,512,71.712
16,0,16,1024,121.985
16,0,16,2048,221.89
16,0,32,16,39.2537
16,0,32,32,39.5737
16,0,32,64,40.2563
16,0,32,128,61.8993
16,0,32,256,86.8273
16,0,32,512,135.841
16,0,32,1024,237.207
16,0,32,2048,436.654
16,0,64,16,63.595
16,0,64,32,64.6403
16,0,64,64,65.6323
16,0,64,128,104.236
16,0,64,256,148.14
16,0,64,512,236.439
16,0,64,1024,413.219
16,0,64,2048,762.364
16,0,128,16,112.993
16,0,128,32,114.305
16,0,128,64,117.43
16,0,128,128,192.151
16,0,128,256,274.296
16,0,128,512,438.329
16,0,128,1024,767.356
16,0,128,2048,1428.66
16,0,256,16,218.562
16,0,256,32,220.685
16,0,256,64,228.546
16,0,256,128,376.952
16,0,256,256,537.38
16,0,256,512,854.535
16,0,256,1024,1485.04
16,0,256,2048,2759.91
16,0,512,16,422.243
16,0,512,32,434.297
16,0,512,64,443.47
16,0,512,128,737.402
16,0,512,256,1055.37
16,0,512,512,1688.6
16,0,512,1024,2955.94
16,0,512,2048,5502.6
16,16,0,0,15.2637
16,16,1,16,14.752
16,16,1,32,14.8587
16,16,1,64,14.9763
16,16,1,128,19.6697
16,16,1,256,25.5143
16,16,1,512,37.472
16,16,1,1024,61.6217
16,16,1,2048,109.857
16,16,2,16,14.8693
16,16,2,32,14.8483
16,16,2,64,15.04
16,16,2,128,19.744
16,16,2,256,25.621
16,16,2,512,37.525
16,16,2,1024,61.697
16,16,2,2048,110.039
16,16,4,16,14.7733
16,16,4,32,14.976
16,16,4,64,15.2967
16,16,4,128,19.798
16,16,4,256,25.6643
16,16,4,512,37.6107
16,16,4,1024,61.9093
16,16,4,2048,110.624
16,16,8,16,15.0083
16,16,8,32,15.232
16,16,8,64,15.4987
16,16,8,128,20.107
16,16,8,256,26.5813
16,16,8,512,39.4557
16,16,8,1024,64.1073
16,16,8,2048,113.196
16,16,16,16,23.3397
16,16,16,32,23.734
16,16,16,64,24.577
16,16,16,128,34.4213
16,16,16,256,47.0933
16,16,16,512,71.8833
16,16,16,1024,121.846
16,16,16,2048,221.687
16,16,32,16,39.2963
16,16,32,32,39.6477
16,16,32,64,40.9923
16,16,32,128,62.027
16,16,32,256,86.806
16,16,32,512,135.574
16,16,32,1024,236.887
16,16,32,2048,435.096
16,16,64,16,63.596
16,16,64,32,64.5223
16,16,64,64,65.8887
16,16,64,128,104.119
16,16,64,256,147.98
16,16,64,512,236.396
16,16,64,1024,413.124
16,16,64,2048,763.249
16,16,128,16,112.972
16,16,128,32,114.327
16,16,128,64,117.324
16,16,128,128,192.321
16,16,128,256,274.359
16,16,128,512,438.468
16,16,128,1024,768.208
16,16,128,2048,1426.53
16,16,256,16,218.38
16,16,256,32,220.759
16,16,256,64,228.311
16,16,256,128,376.899
16,16,256,256,537.882
16,16,256,512,855.005
16,16,256,1024,1488.63
