pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=4,sr<=40%,kvB<=1k,kp=0,0.4831,2
0,n<=4,sr<=40%,kvB<=32k,kp=0,0.2648,1
0,n<=4,sr<=40%,kvB<=4k,kp=0,0.2279,2
0,n<=4,sr<=70%,kvB<=16k,kp=0,0.0382,2
0,n<=4,sr<=70%,kvB<=1k,kp=0,0.4112,2
0,n<=4,sr<=70%,kvB<=32k,kp=0,0.0297,1
0,n<=4,sr<=70%,kvB<=4k,kp=0,-0.0079,2
0,n<=4,sr>70%,kvB<=16k,kp=0,0.5128,2
0,n<=4,sr>70%,kvB<=1k,kp=0,0.1827,2
0,n<=4,sr>70%,kvB<=32k,kp=0,0.4648,1
0,n<=4,sr>70%,kvB<=4k,kp=0,0.4661,2
0,n<=64,sr<=5%,kvB<=16k,kp=0,0.1189,2
0,n<=64,sr<=5%,kvB<=1k,kp=0,0.1019,2
0,n<=64,sr<=5%,kvB<=32k,kp=0,0.1384,1
0,n<=64,sr<=5%,kvB<=4k,kp=0,0.1335,2
0,n<=8,sr<=15%,kvB<=16k,kp=0,0.3633,2
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.3091,4
0,n<=8,sr<=15%,kvB<=32k,kp=0,0.3663,1
0,n<=8,sr<=15%,kvB<=4k,kp=0,0.3428,3
0,n<=8,sr<=40%,kvB<=16k,kp=0,0.2129,4
0,n<=8,sr<=40%,kvB<=1k,kp=0,0.139,4
0,n<=8,sr<=40%,kvB<=32k,kp=0,0.2022,2
0,n<=8,sr<=40%,kvB<=4k,kp=0,0.2061,4
0,n<=8,sr<=70%,kvB<=16k,kp=0,0.039,2
0,n<=8,sr<=70%,kvB<=1k,kp=0,-0.0596,2
0,n<=8,sr<=70%,kvB<=32k,kp=0,0.002,1
0,n<=8,sr<=70%,kvB<=4k,kp=0,0.029,2
0,n<=8,sr>70%,kvB<=16k,kp=0,0.443,4
0,n<=8,sr>70%,kvB<=1k,kp=0,0.0122,4
0,n<=8,sr>70%,kvB<=32k,kp=0,0.3803,2
0,n<=8,sr>70%,kvB<=4k,kp=0,0.5099,4
16,n<=128,sr<=15%,kvB<=16k,kp<=20k,-0.0036,2
16,n<=128,sr<=15%,kvB<=16k,kp<=2k,0.0155,2
16,n<=128,sr<=15%,kvB<=16k,kp<=512,0.0179,2
16,n<=128,sr<=15%,kvB<=16k,kp<=8k,0.0031,2
16,n<=128,sr<=15%,kvB<=16k,kp=0,0.0174,2
16,n<=128,sr<=15%,kvB<=1k,kp<=20k,-0.2623,2
16,n<=128,sr<=15%,kvB<=1k,kp<=2k,0.0824,2
16,n<=128,sr<=15%,kvB<=1k,kp<=512,0.0831,2
16,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.0843,2
16,n<=128,sr<=15%,kvB<=1k,kp=0,0.0997,2
16,n<=128,sr<=15%,kvB<=32k,kp<=20k,0.0093,2
16,n<=128,sr<=15%,kvB<=32k,kp<=2k,0.0152,2
16,n<=128,sr<=15%,kvB<=32k,kp<=512,0.0118,2
16,n<=128,sr<=15%,kvB<=32k,kp<=8k,0.011,2
16,n<=128,sr<=15%,kvB<=32k,kp=0,0.0138,2
16,n<=128,sr<=15%,kvB<=4k,kp<=20k,-0.0021,2
16,n<=128,sr<=15%,kvB<=4k,kp<=2k,0.0152,2
16,n<=128,sr<=15%,kvB<=4k,kp<=512,0.03,2
16,n<=128,sr<=15%,kvB<=4k,kp<=8k,0.0135,2
