layer,sequences,time_us
lm_head,1,854.774
lm_head,2,857.527
lm_head,3,860.981
lm_head,4,863.552
lm_head,5,865.729
lm_head,6,868.48
lm_head,7,870.432
lm_head,8,871.211
lm_head,9,872.868
lm_head,10,874.795
lm_head,11,876.736
lm_head,12,877.761
lm_head,13,878.017
lm_head,14,880.556
lm_head,15,881.131
lm_head,16,882.688
lm_head,20,919.286
lm_head,24,919.862
lm_head,28,923.2
lm_head,32,925.323
lm_head,36,928.556
lm_head,40,929.452
lm_head,44,932.352
lm_head,48,944.757
lm_head,52,938.848
lm_head,56,941.333
lm_head,60,942.721
lm_head,64,944.363
lm_head,80,986.72
lm_head,96,992.428
lm_head,112,998.721
lm_head,128,1004.48
lm_head,144,1454.94
lm_head,160,1456.75
lm_head,176,1457.44
lm_head,192,1458.78
lm_head,208,1459.34
lm_head,224,1463.06
lm_head,240,1465.62
lm_head,256,1466.52
sampler,1,25.0453
sampler,2,26.678
sampler,3,27.125
sampler,4,26.9013
sampler,5,27.4773
sampler,6,32.6293
sampler,7,33.7703
sampler,8,34.1553
sampler,9,34.5497
sampler,10,35.511
sampler,11,35.6597
sampler,12,40.928
sampler,13,41.75
sampler,14,42.453
sampler,15,42.9227
sampler,16,43.3387
sampler,20,49.9733
sampler,24,54.5177
sampler,28,61.045
sampler,32,65.7393
sampler,36,70.549
sampler,40,77.2593
sampler,44,84.0847
sampler,48,88.6613
sampler,52,100.843
sampler,56,103.573
sampler,60,115.371
sampler,64,120.373
sampler,80,151.797
sampler,96,176.107
sampler,112,203.754
sampler,128,223.819
sampler,144,235.733
sampler,160,278.07
sampler,176,300.982
sampler,192,318.742
sampler,208,335.051
sampler,224,372.97
sampler,240,390.23
sampler,256,414.113
