layer,sequences,time_us
lm_head,1,438.015
lm_head,2,441.162
lm_head,3,445.482
lm_head,4,447.167
lm_head,5,447.956
lm_head,6,451.583
lm_head,7,451.638
lm_head,8,453.471
lm_head,9,454.389
lm_head,10,454.879
lm_head,11,456.852
lm_head,12,456.927
lm_head,13,458.964
lm_head,14,459.519
lm_head,15,460.64
lm_head,16,461.333
lm_head,20,491.692
lm_head,24,494.464
lm_head,28,498.86
lm_head,32,500.033
lm_head,36,502.22
lm_head,40,504.961
lm_head,44,506.017
lm_head,48,509.57
lm_head,52,510.988
lm_head,56,534.294
lm_head,60,534.893
lm_head,64,535.661
lm_head,80,541.272
lm_head,96,542.872
lm_head,112,547.352
lm_head,128,549.431
lm_head,144,770.68
lm_head,160,772.001
lm_head,176,774.135
lm_head,192,772.929
lm_head,208,776.076
lm_head,224,776.172
lm_head,240,778.188
lm_head,256,778.945
sampler,1,25.122
sampler,2,26.5617
sampler,3,26.678
sampler,4,27.009
sampler,5,27.5533
sampler,6,31.778
sampler,7,33.1003
sampler,8,33.1753
sampler,9,34.294
sampler,10,34.8277
sampler,11,35.5427
sampler,12,40.119
sampler,13,41.1427
sampler,14,41.8257
sampler,15,42.4557
sampler,16,42.9567
sampler,20,49.7613
sampler,24,54.839
sampler,28,60.3863
sampler,32,65.4433
sampler,36,70.1897
sampler,40,77.8917
sampler,44,83.5777
sampler,48,88.6653
sampler,52,100.421
sampler,56,105.113
sampler,60,114.938
sampler,64,122.788
sampler,80,151.303
sampler,96,175.634
sampler,112,202.697
sampler,128,223.721
sampler,144,236.373
sampler,160,278.466
sampler,176,301.176
sampler,192,317.741
sampler,208,335.694
sampler,224,373.072
sampler,240,394.043
sampler,256,413.607
