prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,14.0697
0,0,1,32,14.1233
0,0,1,64,14.2517
0,0,1,128,19.2223
0,0,1,256,19.456
0,0,1,512,19.8943
0,0,1,1024,20.736
0,0,1,2048,22.7963
0,0,1,4096,26.6673
0,0,1,8192,41.7397
0,0,1,16384,59.1587
0,0,1,32768,88.076
0,0,2,16,19.809
0,0,2,32,19.777
0,0,2,64,19.9583
0,0,2,128,23.243
0,0,2,256,23.5417
0,0,2,512,24.2883
0,0,2,1024,25.4837
0,0,2,2048,28.235
0,0,2,4096,40.5453
0,0,2,8192,55.6077
0,0,2,16384,82.413
0,0,2,32768,132.814
0,0,4,16,19.9147
0,0,4,32,19.9373
0,0,4,64,20.1077
0,0,4,128,23.3823
0,0,4,256,23.7767
0,0,4,512,25.0143
0,0,4,1024,27.243
0,0,4,2048,38.5707
0,0,4,4096,52.9927
0,0,4,8192,78.9457
0,0,4,16384,128.665
0,0,4,32768,217.595
0,0,8,16,19.8617
0,0,8,32,19.9263
0,0,8,64,20.064
0,0,8,128,23.6707
0,0,8,256,24.7477
0,0,8,512,26.9133
0,0,8,1024,37.377
0,0,8,2048,51.2113
0,0,8,4096,76.7807
0,0,8,8192,126.66
0,0,8,16384,215.109
0,0,8,32768,388.608
0,0,16,16,20.054
0,0,16,32,20.1297
0,0,16,64,20.5977
0,0,16,128,24.779
0,0,16,256,31.8193
0,0,16,512,37.025
0,0,16,1024,51.1053
0,0,16,2048,76.173
0,0,16,4096,115.267
0,0,16,8192,192.09
0,0,16,16384,354.153
0,0,16,32768,681.094
0,0,32,16,20.8433
0,0,32,32,21.302
0,0,32,64,21.8567
0,0,32,128,33.1427
0,0,32,256,45.2487
0,0,32,512,56.2577
0,0,32,1024,80.3113
0,0,32,2048,129.091
0,0,32,4096,206.778
0,0,32,8192,360.52
0,0,32,16384,685.596
0,0,32,32768,1338.95
0,0,64,16,28.8857
0,0,64,32,29.2173
0,0,64,64,30.315
0,0,64,128,41.7503
0,0,64,256,55.7033
0,0,64,512,91.8217
0,0,64,1024,134.681
0,0,64,2048,219.461
0,0,64,4096,380.629
0,0,64,8192,698.951
0,0,64,16384,1343.36
0,0,64,32768,2634.83
0,0,128,16,44.7057
0,0,128,32,45.2283
0,0,128,64,47.201
0,0,128,128,70.177
0,0,128,256,95.8743
0,0,128,512,146.67
0,0,128,1024,247.942
0,0,128,2048,451.103
0,0,128,4096,850.442
0,0,128,8192,1661.8
0,0,128,16384,3266.14
0,0,128,32768,6462.09
0,0,256,16,70.2633
0,0,256,32,72.4497
0,0,256,64,74.392
0,0,256,128,114.254
0,0,256,256,159.332
0,0,256,512,247.643
0,0,256,1024,424.895
0,0,256,2048,783.836
0,0,256,4096,1484.61
0,0,256,8192,2901.93
0,0,256,16384,5736.17
0,0,256,32768,11346.7
16,0,0,0,14.7093
16,0,1,16,14.4427
16,0,1,32,14.475
16,0,1,64,14.4003
16,0,1,128,19.35
16,0,1,256,25.2277
16,0,1,512,37.153
16,0,1,1024,61.1317
16,0,1,2048,109.272
16,0,1,4096,205.401
16,0,1,8192,397.673
16,0,1,16384,782.151
16,0,1,32768,1556.27
16,0,2,16,14.358
16,0,2,32,14.411
16,0,2,64,14.3363
16,0,2,128,19.3497
16,0,2,256,25.163
16,0,2,512,37.132
16,0,2,1024,61.227
16,0,2,2048,109.367
16,0,2,4096,205.893
16,0,2,8192,398.74
16,0,2,16384,786.174
16,0,2,32768,1558.88
16,0,4,16,14.2077
16,0,4,32,14.4
16,0,4,64,14.2827
16,0,4,128,19.3493
16,0,4,256,25.3337
16,0,4,512,37.409
16,0,4,1024,62.0167
16,0,4,2048,110.509
16,0,4,4096,207.492
16,0,4,8192,401.619
16,0,4,16384,789.416
16,0,4,32768,1560.81
16,0,8,16,14.443
16,0,8,32,14.3903
16,0,8,64,14.486
16,0,8,128,19.6593
16,0,8,256,25.568
16,0,8,512,37.5583
16,0,8,1024,62.529
16,0,8,2048,111.438
16,0,8,4096,208.698
16,0,8,8192,403.092
16,0,8,16384,790.813
16,0,8,32768,1565.92
16,0,16,16,22.5283
16,0,16,32,22.486
16,0,16,64,22.667
16,0,16,128,33.6327
16,0,16,256,45.9107
16,0,16,512,70.6893
16,0,16,1024,119.426
16,0,16,2048,217.082
16,0,16,4096,411.518
16,0,16,8192,799.581
16,0,16,16384,1581.86
16,0,16,32768,3126.62
16,0,32,16,38.2947
16,0,32,32,38.7527
16,0,32,64,39.1467
16,0,32,128,60.887
16,0,32,256,85.378
16,0,32,512,133.955
16,0,32,1024,231.919
16,0,32,2048,426.154
16,0,32,4096,812.957
16,0,32,8192,1587.91
16,0,32,16384,3132.73
16,0,32,32768,6256.18
16,0,64,16,62.1777
16,0,64,32,62.8077
16,0,64,64,63.906
16,0,64,128,102.893
16,0,64,256,147.171
16,0,64,512,233.285
16,0,64,1024,406.495
16,0,64,2048,748.113
16,0,64,4096,1433.62
16,0,64,8192,2810.37
16,0,64,16384,5592.69
16,0,64,32768,11103.5
16,0,128,16,109.976
16,0,128,32,111.181
16,0,128,64,114.253
16,0,128,128,191.397
16,0,128,256,274.95
16,0,128,512,437.343
16,0,128,1024,763.91
16,0,128,2048,1425.69
16,0,128,4096,2730.79
16,0,128,8192,5380.94
16,0,128,16384,10623.9
16,0,128,32768,21107.5
16,16,0,0,14.9973
16,16,1,16,14.646
16,16,1,32,14.5927
16,16,1,64,14.6773
16,16,1,128,19.425
16,16,1,256,25.2593
16,16,1,512,37.0877
16,16,1,1024,60.9727
16,16,1,2048,108.962
16,16,1,4096,205.339
16,16,1,8192,397.822
16,16,1,16384,784.818
16,16,1,32768,1555.84
16,16,2,16,14.5927
16,16,2,32,14.603
16,16,2,64,14.5603
16,16,2,128,19.3717
16,16,2,256,25.3127
16,16,2,512,37.249
16,16,2,1024,61.271
16,16,2,2048,109.496
16,16,2,4096,206.096
16,16,2,8192,399.464
16,16,2,16384,786.972
16,16,2,32768,1561.86
16,16,4,16,14.4223
16,16,4,32,14.603
16,16,4,64,14.7953
16,16,4,128,19.3497
16,16,4,256,25.302
16,16,4,512,37.452
