pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.0179,2
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.1402,2
0,n<=128,sr<=15%,kvB<=32k,kp=0,0.0235,2
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.0412,2
0,n<=128,sr<=40%,kvB<=16k,kp=0,-0.0254,1
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.2188,1
0,n<=128,sr<=40%,kvB<=32k,kp=0,-0.0195,1
0,n<=128,sr<=40%,kvB<=4k,kp=0,-0.041,1
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.0383,4
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.1029,4
0,n<=128,sr<=5%,kvB<=32k,kp=0,0.0373,4
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.0222,4
0,n<=128,sr<=70%,kvB<=16k,kp=0,-0.1338,1
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.2716,1
0,n<=128,sr<=70%,kvB<=32k,kp=0,-0.1387,1
0,n<=128,sr<=70%,kvB<=4k,kp=0,-0.134,1
0,n<=128,sr>70%,kvB<=16k,kp=0,-0.2414,2
0,n<=128,sr>70%,kvB<=1k,kp=0,0.4554,2
0,n<=128,sr>70%,kvB<=32k,kp=0,-0.2403,2
0,n<=128,sr>70%,kvB<=4k,kp=0,-0.1937,2
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.0145,2
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.077,2
0,n<=16,sr<=15%,kvB<=32k,kp=0,0.0231,2
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.1399,2
0,n<=16,sr<=40%,kvB<=16k,kp=0,-0.0183,2
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.2531,2
0,n<=16,sr<=40%,kvB<=32k,kp=0,0.0176,2
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.1269,2
0,n<=16,sr<=70%,kvB<=16k,kp=0,-0.0993,1
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.0811,1
0,n<=16,sr<=70%,kvB<=32k,kp=0,-0.0293,1
0,n<=16,sr<=70%,kvB<=4k,kp=0,0.0577,1
0,n<=16,sr>70%,kvB<=16k,kp=0,0.1175,2
0,n<=16,sr>70%,kvB<=1k,kp=0,0.7008,2
0,n<=16,sr>70%,kvB<=32k,kp=0,0.1767,2
0,n<=16,sr>70%,kvB<=4k,kp=0,0.5006,2
0,n<=2,sr<=70%,kvB<=16k,kp=0,-1.0649,1
0,n<=2,sr<=70%,kvB<=1k,kp=0,3.4878,1
0,n<=2,sr<=70%,kvB<=32k,kp=0,0.0727,1
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.5382,1
0,n<=256,sr<=15%,kvB<=16k,kp=0,-0.0062,2
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.0763,2
0,n<=256,sr<=15%,kvB<=32k,kp=0,-0.0004,2
0,n<=256,sr<=15%,kvB<=4k,kp=0,0.0402,2
0,n<=256,sr<=40%,kvB<=16k,kp=0,-0.0184,1
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.1974,1
0,n<=256,sr<=40%,kvB<=32k,kp=0,-0.0224,1
0,n<=256,sr<=40%,kvB<=4k,kp=0,-0.0212,1
0,n<=256,sr<=5%,kvB<=16k,kp=0,0.005,4
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.0285,4
0,n<=256,sr<=5%,kvB<=32k,kp=0,-0.0006,4
0,n<=256,sr<=5%,kvB<=4k,kp=0,0.0022,4
0,n<=256,sr<=70%,kvB<=16k,kp=0,-0.0291,1
0,n<=256,sr<=70%,kvB<=1k,kp=0,0.1886,1
0,n<=256,sr<=70%,kvB<=32k,kp=0,-0.0305,1
0,n<=256,sr<=70%,kvB<=4k,kp=0,-0.0447,1
0,n<=256,sr>70%,kvB<=16k,kp=0,-0.0169,2
0,n<=256,sr>70%,kvB<=1k,kp=0,0.2937,2
0,n<=256,sr>70%,kvB<=32k,kp=0,-0.02,2
0,n<=256,sr>70%,kvB<=4k,kp=0,0.011,2
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.0043,3
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.2871,3
0,n<=32,sr<=15%,kvB<=32k,kp=0,0.0023,3
0,n<=32,sr<=15%,kvB<=4k,kp=0,0.0503,3
0,n<=32,sr<=40%,kvB<=16k,kp=0,0.0023,1
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.4138,1
0,n<=32,sr<=40%,kvB<=32k,kp=0,-0.0012,1
0,n<=32,sr<=40%,kvB<=4k,kp=0,0.0105,1
0,n<=32,sr<=5%,kvB<=16k,kp=0,0.0064,1
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.2532,1
0,n<=32,sr<=5%,kvB<=32k,kp=0,0.0031,1
0,n<=32,sr<=5%,kvB<=4k,kp=0,0.1043,1
0,n<=32,sr<=70%,kvB<=16k,kp=0,-0.0413,1
0,n<=32,sr<=70%,kvB<=1k,kp=0,0.4539,1
0,n<=32,sr<=70%,kvB<=32k,kp=0,-0.0156,1
0,n<=32,sr<=70%,kvB<=4k,kp=0,-0.1199,1
0,n<=32,sr>70%,kvB<=16k,kp=0,0.1434,2
0,n<=32,sr>70%,kvB<=1k,kp=0,0.6898,2
0,n<=32,sr>70%,kvB<=32k,kp=0,0.0306,2
0,n<=32,sr>70%,kvB<=4k,kp=0,-0.0937,2
0,n<=4,sr<=40%,kvB<=16k,kp=0,0.1439,1
0,n<=4,sr<=40%,kvB<=1k,kp=0,0.1699,3
0,n<=4,sr<=40%,kvB<=32k,kp=0,0.0843,1
0,n<=4,sr<=40%,kvB<=4k,kp=0,0.1545,2
0,n<=4,sr<=70%,kvB<=16k,kp=0,-0.0685,1
0,n<=4,sr<=70%,kvB<=1k,kp=0,0.2417,1
0,n<=4,sr<=70%,kvB<=32k,kp=0,0.0408,1
