prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,14.123
0,0,1,32,14.1867
0,0,1,64,14.7737
0,0,1,128,20.0847
0,0,1,256,20.2343
0,0,1,512,20.6933
0,0,1,1024,22.016
0,0,1,2048,24.725
0,0,1,4096,37.196
0,0,1,8192,52.214
0,0,1,16384,79.8943
0,0,1,32768,130.413
0,0,2,16,20.4683
0,0,2,32,20.512
0,0,2,64,20.575
0,0,2,128,24.1403
0,0,2,256,24.3307
0,0,2,512,25.2593
0,0,2,1024,27.3273
0,0,2,2048,38.4743
0,0,2,4096,53.515
0,0,2,8192,79.009
0,0,2,16384,128.524
0,0,2,32768,215.726
0,0,4,16,20.3847
0,0,4,32,20.385
0,0,4,64,20.459
0,0,4,128,24.181
0,0,4,256,24.768
0,0,4,512,26.71
0,0,4,1024,37.0677
0,0,4,2048,51.1373
0,0,4,4096,76.1393
0,0,4,8192,125.729
0,0,4,16384,213.41
0,0,4,32768,387.728
0,0,8,16,20.5233
0,0,8,32,20.6617
0,0,8,64,21.003
0,0,8,128,24.7363
0,0,8,256,32.2897
0,0,8,512,37.1947
0,0,8,1024,50.944
0,0,8,2048,75.9263
0,0,8,4096,114.156
0,0,8,8192,190.381
0,0,8,16384,353.402
0,0,8,32768,678.845
0,0,16,16,20.949
0,0,16,32,21.3657
0,0,16,64,21.974
0,0,16,128,33.249
0,0,16,256,45.7713
0,0,16,512,56.3313
0,0,16,1024,80.267
0,0,16,2048,128.758
0,0,16,4096,205.305
0,0,16,8192,358.212
0,0,16,16384,682.142
0,0,16,32768,1334.09
0,0,32,16,28.907
0,0,32,32,29.3773
0,0,32,64,30.3687
0,0,32,128,41.5797
0,0,32,256,54.4853
0,0,32,512,90.3687
0,0,32,1024,132.994
0,0,32,2048,215.736
0,0,32,4096,377.754
0,0,32,8192,694.462
0,0,32,16384,1334.48
0,0,32,32768,2610.31
0,0,64,16,44.2673
0,0,64,32,44.6723
0,0,64,64,46.667
0,0,64,128,69.0567
0,0,64,256,95.0193
0,0,64,512,144.587
0,0,64,1024,246.562
0,0,64,2048,448.294
0,0,64,4096,852.757
0,0,64,8192,1664.63
0,0,64,16384,3273.54
0,0,64,32768,6506.8
0,0,128,16,69.9953
0,0,128,32,71.212
0,0,128,64,73.75
0,0,128,128,113.654
0,0,128,256,158.775
0,0,128,512,247.587
0,0,128,1024,427.951
0,0,128,2048,781.342
0,0,128,4096,1494.75
0,0,128,8192,2924.41
0,0,128,16384,5750.64
0,0,128,32768,11435
0,0,256,16,124.289
0,0,256,32,126.081
