layer,sequences,time_us
lm_head,1,207.898
lm_head,2,208.72
lm_head,3,209.232
lm_head,4,210.021
lm_head,5,210.233
lm_head,6,210.202
lm_head,7,210.607
lm_head,8,219.439
lm_head,9,219.791
lm_head,10,219.887
lm_head,11,220.176
lm_head,12,219.716
lm_head,13,221.05
lm_head,14,221.519
lm_head,15,222.415
lm_head,16,221.732
lm_head,20,229.966
lm_head,24,241.326
lm_head,28,286.562
lm_head,32,285.826
lm_head,36,275.042
lm_head,40,280.556
lm_head,44,282.732
lm_head,48,282.573
lm_head,52,281.676
lm_head,56,296.641
lm_head,60,294.06
lm_head,64,295.841
lm_head,80,405.597
lm_head,96,406.429
lm_head,112,407.123
lm_head,128,408.146
lm_head,144,595.884
lm_head,160,596.14
lm_head,176,596.619
lm_head,192,789.124
lm_head,208,789.572
lm_head,224,790.403
lm_head,240,790.99
lm_head,256,791.97
lm_head,272,1006.94
lm_head,288,1008.31
lm_head,304,1009.87
lm_head,320,1012.4
lm_head,336,1013.51
lm_head,352,1014.54
lm_head,368,1185.52
lm_head,384,1186.5
lm_head,400,1481.07
lm_head,416,1481.39
lm_head,432,1481.34
lm_head,448,1482.17
lm_head,464,1481.89
lm_head,480,1482.36
lm_head,496,1482.77
lm_head,512,1483.41
lm_head,528,1724.98
lm_head,544,1725.18
lm_head,560,1725.8
lm_head,576,1726.07
lm_head,592,1726.38
lm_head,608,1726.76
lm_head,624,1727.47
lm_head,640,2071.58
lm_head,656,1975.69
lm_head,672,1975.97
lm_head,688,1976.11
lm_head,704,1976.73
lm_head,720,1976.99
lm_head,736,1977.62
lm_head,752,1979.74
lm_head,768,1980.12
lm_head,784,1976.67
lm_head,800,1979.16
lm_head,816,2464.85
lm_head,832,2465.08
lm_head,848,2465.51
lm_head,864,2466.54
lm_head,880,2467
lm_head,896,2467.21
lm_head,912,2467.73
lm_head,928,2468.34
lm_head,944,2468.66
lm_head,960,2469.11
lm_head,976,2715.34
lm_head,984,2715.74
sampler,1,12.7247
sampler,2,12.842
sampler,3,12.8847
sampler,4,12.8533
sampler,5,12.9383
sampler,6,13.013
sampler,7,12.9387
sampler,8,14.538
sampler,9,14.4523
sampler,10,14.4743
sampler,11,14.4953
sampler,12,14.5703
sampler,13,14.496
sampler,14,14.5273
sampler,15,14.5053
sampler,16,14.4423
sampler,20,14.3883
sampler,24,14.1757
sampler,28,14.2603
sampler,32,15.562
sampler,36,15.7113
sampler,40,16.1913
sampler,44,16.9813
sampler,48,17.4077
sampler,52,17.6957
sampler,56,18.3677
sampler,60,18.826
sampler,64,19.499
sampler,80,21.215
sampler,96,25.076
sampler,112,27.9673
sampler,128,31.519
sampler,144,35.092
sampler,160,38.5903
sampler,176,42.281
sampler,192,45.854
sampler,208,49.3847
sampler,224,53.6193
sampler,240,57.1927
sampler,256,64.1577
sampler,272,69.5973
sampler,288,72.4767
sampler,304,75.0053
sampler,320,78.12
sampler,336,80.4553
sampler,352,83.602
sampler,368,86.5243
sampler,384,89.671
sampler,400,92.5187
sampler,416,96.4753
sampler,432,99.1953
sampler,448,102.427
sampler,464,105.019
sampler,480,108.571
sampler,496,114.426
sampler,512,116.901
sampler,528,120.272
sampler,544,121.989
sampler,560,124.335
sampler,576,127.621
sampler,592,130.127
sampler,608,133.134
sampler,624,136.27
sampler,640,139.021
sampler,656,142.393
sampler,672,145.261
sampler,688,148.451
sampler,704,151.468
sampler,720,154.892
sampler,736,157.441
sampler,752,163.169
sampler,768,165.099
sampler,784,168.385
sampler,800,170.336
sampler,816,173.184
sampler,832,175.861
sampler,848,179.047
sampler,864,181.922
sampler,880,184.983
sampler,896,187.394
sampler,912,190.337
sampler,928,194.006
sampler,944,196.79
sampler,960,199.264
sampler,976,203.145
sampler,984,204.703
