pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.0407,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.0728,4
0,n<=128,sr<=15%,kvB<=32k,kp=0,0.0238,2
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.025,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,0.034,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.0888,2
0,n<=128,sr<=40%,kvB<=32k,kp=0,-0.0231,1
0,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0327,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.065,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.0214,8
0,n<=128,sr<=5%,kvB<=32k,kp=0,0.0378,4
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.0366,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,-0.0191,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.0146,2
0,n<=128,sr<=70%,kvB<=32k,kp=0,-0.1463,1
0,n<=128,sr<=70%,kvB<=4k,kp=0,-0.1338,2
0,n<=128,sr>70%,kvB<=16k,kp=0,0.0828,4
0,n<=128,sr>70%,kvB<=1k,kp=0,0.2343,4
0,n<=128,sr>70%,kvB<=32k,kp=0,-0.2524,2
0,n<=128,sr>70%,kvB<=4k,kp=0,-0.2213,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.0062,2
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.1438,4
0,n<=16,sr<=15%,kvB<=32k,kp=0,0.0599,2
0,n<=16,sr<=15%,kvB<=4k,kp=0,-0.0099,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,-0.0176,2
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.3231,4
0,n<=16,sr<=40%,kvB<=32k,kp=0,0.0615,2
0,n<=16,sr<=40%,kvB<=4k,kp=0,-0.0055,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,-0.077,1
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.327,2
0,n<=16,sr<=70%,kvB<=32k,kp=0,0.0807,1
0,n<=16,sr<=70%,kvB<=4k,kp=0,-0.2437,2
0,n<=16,sr>70%,kvB<=16k,kp=0,0.1511,2
0,n<=16,sr>70%,kvB<=1k,kp=0,0.8977,4
0,n<=16,sr>70%,kvB<=32k,kp=0,0.4093,2
0,n<=16,sr>70%,kvB<=4k,kp=0,-0.0339,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,-0.2447,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,1.1961,2
0,n<=2,sr<=70%,kvB<=32k,kp=0,0.0748,1
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.2949,2
0,n<=256,sr<=15%,kvB<=16k,kp=0,-0.0057,4
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.0752,4
0,n<=256,sr<=15%,kvB<=32k,kp=0,-0.0036,2
0,n<=256,sr<=15%,kvB<=4k,kp=0,0.0092,4
0,n<=256,sr<=40%,kvB<=16k,kp=0,-0.0198,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.1,2
0,n<=256,sr<=40%,kvB<=32k,kp=0,-0.0265,1
0,n<=256,sr<=40%,kvB<=4k,kp=0,-0.0128,2
0,n<=256,sr<=5%,kvB<=16k,kp=0,0.0083,8
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.007,8
0,n<=256,sr<=5%,kvB<=32k,kp=0,-0.0012,4
0,n<=256,sr<=5%,kvB<=4k,kp=0,0.0034,8
0,n<=256,sr<=70%,kvB<=16k,kp=0,-0.0313,2
0,n<=256,sr<=70%,kvB<=1k,kp=0,0.0135,2
0,n<=256,sr<=70%,kvB<=32k,kp=0,-0.0257,1
0,n<=256,sr<=70%,kvB<=4k,kp=0,-0.0429,2
0,n<=256,sr>70%,kvB<=16k,kp=0,-0.0424,4
0,n<=256,sr>70%,kvB<=1k,kp=0,0.1963,4
0,n<=256,sr>70%,kvB<=32k,kp=0,-0.0216,2
0,n<=256,sr>70%,kvB<=4k,kp=0,-0.0121,4
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.0049,6
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.2334,6
0,n<=32,sr<=15%,kvB<=32k,kp=0,0.003,3
0,n<=32,sr<=15%,kvB<=4k,kp=0,-0.0027,6
0,n<=32,sr<=40%,kvB<=16k,kp=0,0.0076,2
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.3075,2
0,n<=32,sr<=40%,kvB<=32k,kp=0,-0.0006,1
0,n<=32,sr<=40%,kvB<=4k,kp=0,0.0016,2
0,n<=32,sr<=5%,kvB<=16k,kp=0,0.0005,2
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.2228,2
0,n<=32,sr<=5%,kvB<=32k,kp=0,0.0202,1
0,n<=32,sr<=5%,kvB<=4k,kp=0,0.0184,2
0,n<=32,sr<=70%,kvB<=16k,kp=0,0.0574,2
0,n<=32,sr<=70%,kvB<=1k,kp=0,0.1249,2
0,n<=32,sr<=70%,kvB<=32k,kp=0,-0.0109,1
0,n<=32,sr<=70%,kvB<=4k,kp=0,-0.0797,2
0,n<=32,sr>70%,kvB<=16k,kp=0,0.1602,4
0,n<=32,sr>70%,kvB<=1k,kp=0,0.5718,4
0,n<=32,sr>70%,kvB<=32k,kp=0,0.0321,2
0,n<=32,sr>70%,kvB<=4k,kp=0,-0.1861,4
0,n<=4,sr<=40%,kvB<=16k,kp=0,0.1479,1
0,n<=4,sr<=40%,kvB<=1k,kp=0,0.1679,4
0,n<=4,sr<=40%,kvB<=32k,kp=0,0.0904,1
0,n<=4,sr<=40%,kvB<=4k,kp=0,0.0834,3
0,n<=4,sr<=70%,kvB<=16k,kp=0,-0.1078,1
0,n<=4,sr<=70%,kvB<=1k,kp=0,0.3889,2
0,n<=4,sr<=70%,kvB<=32k,kp=0,0.0809,1
0,n<=4,sr<=70%,kvB<=4k,kp=0,0.174,2
0,n<=4,sr>70%,kvB<=16k,kp=0,0.864,1
0,n<=4,sr>70%,kvB<=1k,kp=0,0.2786,2
0,n<=4,sr>70%,kvB<=32k,kp=0,0.8924,1
0,n<=4,sr>70%,kvB<=4k,kp=0,0.8196,2
0,n<=64,sr<=15%,kvB<=16k,kp=0,0.1246,2
0,n<=64,sr<=15%,kvB<=1k,kp=0,0.1233,4
0,n<=64,sr<=15%,kvB<=32k,kp=0,0.0763,2
0,n<=64,sr<=15%,kvB<=4k,kp=0,0.0794,4
0,n<=64,sr<=40%,kvB<=16k,kp=0,0.0737,1
0,n<=64,sr<=40%,kvB<=1k,kp=0,0.1146,2
0,n<=64,sr<=40%,kvB<=32k,kp=0,-0.0042,1
0,n<=64,sr<=40%,kvB<=4k,kp=0,0.0091,2
0,n<=64,sr<=5%,kvB<=16k,kp=0,0.1817,3
0,n<=64,sr<=5%,kvB<=1k,kp=0,0.1125,6
0,n<=64,sr<=5%,kvB<=32k,kp=0,0.1317,3
0,n<=64,sr<=5%,kvB<=4k,kp=0,0.132,6
0,n<=64,sr<=70%,kvB<=16k,kp=0,-0.0376,1
0,n<=64,sr<=70%,kvB<=1k,kp=0,-0.1225,2
0,n<=64,sr<=70%,kvB<=32k,kp=0,-0.1684,1
0,n<=64,sr<=70%,kvB<=4k,kp=0,-0.1896,2
0,n<=64,sr>70%,kvB<=16k,kp=0,-0.0477,2
0,n<=64,sr>70%,kvB<=1k,kp=0,-0.0746,4
0,n<=64,sr>70%,kvB<=32k,kp=0,-0.4853,2
0,n<=64,sr>70%,kvB<=4k,kp=0,-0.5201,4
0,n<=8,sr<=15%,kvB<=16k,kp=0,0.1725,2
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.223,4
0,n<=8,sr<=15%,kvB<=32k,kp=0,0.2701,1
0,n<=8,sr<=15%,kvB<=4k,kp=0,0.1227,3
0,n<=8,sr<=40%,kvB<=16k,kp=0,0.0752,4
0,n<=8,sr<=40%,kvB<=1k,kp=0,0.4513,4
0,n<=8,sr<=40%,kvB<=32k,kp=0,0.1739,2
0,n<=8,sr<=40%,kvB<=4k,kp=0,0.048,4
0,n<=8,sr<=70%,kvB<=16k,kp=0,-0.0368,2
0,n<=8,sr<=70%,kvB<=1k,kp=0,-0.2946,2
0,n<=8,sr<=70%,kvB<=32k,kp=0,0.0971,1
0,n<=8,sr<=70%,kvB<=4k,kp=0,-0.2721,2
0,n<=8,sr>70%,kvB<=16k,kp=0,0.6938,4
0,n<=8,sr>70%,kvB<=1k,kp=0,0.7704,4
0,n<=8,sr>70%,kvB<=32k,kp=0,1.3142,2
0,n<=8,sr>70%,kvB<=4k,kp=0,0.8075,4
16,n<=128,sr<=15%,kvB<=16k,kp<=16k,0.0028,4
16,n<=128,sr<=15%,kvB<=16k,kp<=1k,0.0195,4
16,n<=128,sr<=15%,kvB<=16k,kp<=20k,-0.0057,4
16,n<=128,sr<=15%,kvB<=16k,kp<=2k,0.0075,4
16,n<=128,sr<=15%,kvB<=16k,kp<=4k,0.0049,4
16,n<=128,sr<=15%,kvB<=16k,kp<=512,0.0136,4
16,n<=128,sr<=15%,kvB<=16k,kp<=8k,0.007,4
16,n<=128,sr<=15%,kvB<=16k,kp=0,0.0153,4
16,n<=128,sr<=15%,kvB<=1k,kp<=16k,0.0795,4
16,n<=128,sr<=15%,kvB<=1k,kp<=1k,0.0701,4
16,n<=128,sr<=15%,kvB<=1k,kp<=20k,0.0798,4
16,n<=128,sr<=15%,kvB<=1k,kp<=2k,0.0694,4
16,n<=128,sr<=15%,kvB<=1k,kp<=4k,0.0758,4
16,n<=128,sr<=15%,kvB<=1k,kp<=512,0.0722,4
16,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.0795,4
16,n<=128,sr<=15%,kvB<=1k,kp=0,0.0733,4
16,n<=128,sr<=15%,kvB<=32k,kp<=16k,0.008,2
16,n<=128,sr<=15%,kvB<=32k,kp<=1k,0.0151,2
16,n<=128,sr<=15%,kvB<=32k,kp<=20k,0.0071,2
16,n<=128,sr<=15%,kvB<=32k,kp<=2k,0.0125,2
16,n<=128,sr<=15%,kvB<=32k,kp<=4k,0.0092,2
16,n<=128,sr<=15%,kvB<=32k,kp<=512,0.015,2
16,n<=128,sr<=15%,kvB<=32k,kp<=8k,0.0039,2
16,n<=128,sr<=15%,kvB<=32k,kp=0,0.0182,2
16,n<=128,sr<=15%,kvB<=4k,kp<=16k,0.0128,4
16,n<=128,sr<=15%,kvB<=4k,kp<=1k,0.0204,4
16,n<=128,sr<=15%,kvB<=4k,kp<=20k,0.0122,4
16,n<=128,sr<=15%,kvB<=4k,kp<=2k,0.021,4
16,n<=128,sr<=15%,kvB<=4k,kp<=4k,0.0193,4
16,n<=128,sr<=15%,kvB<=4k,kp<=512,0.0202,4
16,n<=128,sr<=15%,kvB<=4k,kp<=8k,0.0127,4
16,n<=128,sr<=15%,kvB<=4k,kp=0,0.0276,4
16,n<=128,sr<=40%,kvB<=16k,kp<=16k,-0.0095,2
16,n<=128,sr<=40%,kvB<=16k,kp<=1k,0.0166,2
16,n<=128,sr<=40%,kvB<=16k,kp<=20k,0.0019,2
16,n<=128,sr<=40%,kvB<=16k,kp<=2k,0.0002,2
16,n<=128,sr<=40%,kvB<=16k,kp<=4k,-0.0074,2
16,n<=128,sr<=40%,kvB<=16k,kp<=512,0.0081,2
16,n<=128,sr<=40%,kvB<=16k,kp<=8k,-0.0099,2
16,n<=128,sr<=40%,kvB<=16k,kp=0,0.0093,2
16,n<=128,sr<=40%,kvB<=1k,kp<=16k,0.1256,2
16,n<=128,sr<=40%,kvB<=1k,kp<=1k,0.1024,2
16,n<=128,sr<=40%,kvB<=1k,kp<=20k,0.122,2
16,n<=128,sr<=40%,kvB<=1k,kp<=2k,0.114,2
16,n<=128,sr<=40%,kvB<=1k,kp<=4k,0.1229,2
16,n<=128,sr<=40%,kvB<=1k,kp<=512,0.1013,2
16,n<=128,sr<=40%,kvB<=1k,kp<=8k,0.1223,2
16,n<=128,sr<=40%,kvB<=1k,kp=0,0.1059,2
16,n<=128,sr<=40%,kvB<=32k,kp<=16k,-0.0126,1
16,n<=128,sr<=40%,kvB<=32k,kp<=1k,0.0105,1
16,n<=128,sr<=40%,kvB<=32k,kp<=20k,-0.0103,1
16,n<=128,sr<=40%,kvB<=32k,kp<=2k,0.0087,1
16,n<=128,sr<=40%,kvB<=32k,kp<=4k,0.0063,1
