layer,sequences,time_us
lm_head,1,364.184
lm_head,2,363.747
lm_head,3,365.047
lm_head,4,369.464
lm_head,5,369.891
lm_head,6,370.509
lm_head,7,371.106
lm_head,8,372.227
lm_head,9,373.048
lm_head,10,373.154
lm_head,11,373.688
lm_head,12,374.12
lm_head,13,374.147
lm_head,14,375.128
lm_head,15,375.459
lm_head,16,375.853
lm_head,20,395.725
lm_head,24,396.888
lm_head,28,397.624
lm_head,32,398.637
lm_head,36,399.768
lm_head,40,401.101
lm_head,44,401.635
lm_head,48,403.149
lm_head,52,404.837
lm_head,56,405.826
lm_head,60,407.225
lm_head,64,407.992
lm_head,80,651.364
lm_head,96,653.849
lm_head,112,657.348
lm_head,128,662.006
lm_head,144,1286.94
lm_head,160,1287.75
lm_head,176,1288.73
lm_head,192,930.31
lm_head,208,1259.2
lm_head,224,1288.35
lm_head,240,1290.26
lm_head,256,1293.21
sampler,1,24.2667
sampler,2,23.968
sampler,3,24.1707
sampler,4,28.2987
sampler,5,28.3413
sampler,6,28.2987
sampler,7,30.2727
sampler,8,30.2833
sampler,9,30.2827
sampler,10,30.806
sampler,11,30.699
sampler,12,31.061
sampler,13,32.2563
sampler,14,33.856
sampler,15,34.4107
sampler,16,34.8583
sampler,20,41.409
sampler,24,43.9787
sampler,28,47.0407
sampler,32,48.6507
sampler,36,52.011
sampler,40,55.2863
sampler,44,57.4727
sampler,48,60.779
sampler,52,63.19
sampler,56,66.3787
sampler,60,69.7287
sampler,64,72.8427
sampler,80,86.817
sampler,96,102.091
sampler,112,117.035
sampler,128,130.784
sampler,144,145.163
sampler,160,158.86
sampler,176,173.228
sampler,192,188.183
sampler,208,202.476
sampler,224,217.015
sampler,240,231.628
sampler,256,264.225
