regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
mixed,2,1,0.5,4.0,256,8192,8192,32768,20480,2924.6,4654.144,4618.364,0.9793
mixed,2,1,0.5,4.0,256,20480,128,512,320,2924.694,2930.71,2924.662,-0.0053
mixed,2,1,0.5,4.0,256,20480,512,2048,1280,2923.668,2928.853,2924.628,0.1851
mixed,2,1,0.5,4.0,256,20480,2048,8192,5120,2926.102,2929.401,2922.969,-0.9497
mixed,2,1,0.5,4.0,256,20480,8192,32768,20480,2943.256,4646.334,4625.374,0.9877
mixed,2,1,0.5,4.0,1024,0,128,512,320,263.197,278.748,273.148,0.6399
mixed,2,1,0.5,4.0,1024,0,512,2048,1280,323.644,410.777,401.85,0.8975
mixed,2,1,0.5,4.0,1024,0,2048,8192,5120,848.18,1272.655,1155.957,0.7251
mixed,2,1,0.5,4.0,1024,0,8192,32768,20480,3003.03,4721.824,4643.102,0.9542
mixed,2,1,0.5,4.0,1024,512,128,512,320,390.104,397.144,398.106,1.1366
mixed,2,1,0.5,4.0,1024,512,512,2048,1280,436.058,487.771,464.411,0.5483
mixed,2,1,0.5,4.0,1024,512,2048,8192,5120,889.972,1307.056,1081.747,0.4598
mixed,2,1,0.5,4.0,1024,512,8192,32768,20480,3071.796,4751.935,3878.533,0.4802
mixed,2,1,0.5,4.0,1024,2048,128,512,320,790.964,815.027,798.741,0.3232
mixed,2,1,0.5,4.0,1024,2048,512,2048,1280,820.214,822.709,830.578,4.1539
mixed,2,1,0.5,4.0,1024,2048,2048,8192,5120,1042.99,1462.345,1298.063,0.6083
mixed,2,1,0.5,4.0,1024,2048,8192,32768,20480,3263.026,4893.017,4403.918,0.6999
mixed,2,1,0.5,4.0,1024,8192,128,512,320,2125.027,2125.824,2111.075,-17.5056
mixed,2,1,0.5,4.0,1024,8192,512,2048,1280,2201.185,2252.736,2238.978,0.7331
mixed,2,1,0.5,4.0,1024,8192,2048,8192,5120,2348.925,2342.09,2494.736,
mixed,2,1,0.5,4.0,1024,8192,8192,32768,20480,3347.793,5011.993,4656.321,0.7863
mixed,2,1,0.5,4.0,1024,20480,128,512,320,4910.615,4913.05,4919.962,3.8386
mixed,2,1,0.5,4.0,1024,20480,512,2048,1280,4930.202,4997.753,4987.959,0.855
mixed,2,1,0.5,4.0,1024,20480,2048,8192,5120,5183.674,5521.015,5053.877,-0.3848
mixed,2,1,0.5,4.0,1024,20480,8192,32768,20480,4941.688,6020.044,6116.807,1.0897
mixed,2,1,0.5,4.0,2048,0,128,512,320,660.47,679.704,666.839,0.3311
mixed,2,1,0.5,4.0,2048,0,512,2048,1280,690.68,721.911,703.286,0.4036
mixed,2,1,0.5,4.0,2048,0,2048,8192,5120,1054.419,1392.653,1332.748,0.8229
mixed,2,1,0.5,4.0,2048,0,8192,32768,20480,3217.746,4527.59,4415.968,0.9148
mixed,2,1,0.5,4.0,2048,512,128,512,320,866.644,875.123,854.259,-1.4607
mixed,2,1,0.5,4.0,2048,512,512,2048,1280,882.737,898.42,869.27,-0.8587
mixed,2,1,0.5,4.0,2048,512,2048,8192,5120,1217.809,1576.625,1488.106,0.7533
mixed,2,1,0.5,4.0,2048,512,8192,32768,20480,3314.642,5051.123,4090.471,0.4468
mixed,2,1,0.5,4.0,2048,2048,128,512,320,1471.852,1487.212,1490.475,1.2124
mixed,2,1,0.5,4.0,2048,2048,512,2048,1280,1503.566,1515.942,1496.139,-0.6001
mixed,2,1,0.5,4.0,2048,2048,2048,8192,5120,1644.553,1929.509,1862.596,0.7652
mixed,2,1,0.5,4.0,2048,2048,8192,32768,20480,3342.832,5360.436,4510.911,0.5789
mixed,2,1,0.5,4.0,2048,8192,128,512,320,3960.071,3954.632,3951.397,
mixed,2,1,0.5,4.0,2048,8192,512,2048,1280,3970.726,3943.816,3957.639,
mixed,2,1,0.5,4.0,2048,8192,2048,8192,5120,3951.911,3989.576,3994.598,1.1333
mixed,2,1,0.5,4.0,2048,8192,8192,32768,20480,5250.228,6594.588,6013.388,0.5677
mixed,2,1,0.5,4.0,2048,20480,128,512,320,8104.685,8074.35,8084.205,
mixed,2,1,0.5,4.0,2048,20480,512,2048,1280,8140.589,8173.671,8153.707,0.3965
mixed,2,1,0.5,4.0,2048,20480,2048,8192,5120,8336.163,8559.974,8442.532,0.4753
mixed,2,1,0.5,4.0,2048,20480,8192,32768,20480,9028.414,10282.347,9579.192,0.4392
pure,8,1,0.125,4.0,0,0,128,512,176,105.024,131.005,117.373,0.4753
pure,8,1,0.125,4.0,0,0,512,2048,704,137.723,191.263,153.086,0.2869
pure,8,1,0.125,4.0,0,0,2048,8192,2816,220.253,410.264,284.507,0.3382
pure,8,1,0.125,4.0,0,0,8192,32768,11264,520.922,1251.15,785.174,0.3619
mixed,8,1,0.125,4.0,16,0,128,512,176,79.71,136.511,131.742,0.916
mixed,8,1,0.125,4.0,16,0,512,2048,704,156.894,352.636,347.066,0.9715
mixed,8,1,0.125,4.0,16,0,2048,8192,2816,458.552,1217.007,1200.143,0.9778
mixed,8,1,0.125,4.0,16,0,8192,32768,11264,1653.575,4703.484,4598.172,0.9655
mixed,8,1,0.125,4.0,16,512,128,512,176,132.189,138.076,132.702,0.0871
mixed,8,1,0.125,4.0,16,512,512,2048,704,157.246,353.468,343.481,0.9491
mixed,8,1,0.125,4.0,16,512,2048,8192,2816,460.154,1224.238,1194.573,0.9612
mixed,8,1,0.125,4.0,16,512,8192,32768,11264,1656.266,4701.564,4616.224,0.972
mixed,8,1,0.125,4.0,16,2048,128,512,176,347.229,348.571,344.091,-2.3383
mixed,8,1,0.125,4.0,16,2048,512,2048,704,347.931,355.098,351.612,0.5136
mixed,8,1,0.125,4.0,16,2048,2048,8192,2816,463.161,1221.235,1199.343,0.9711
mixed,8,1,0.125,4.0,16,2048,8192,32768,11264,1657.383,4694.11,4599.359,0.9688
mixed,8,1,0.125,4.0,16,8192,128,512,176,1197.072,1199.022,1195.598,-0.7559
mixed,8,1,0.125,4.0,16,8192,512,2048,704,1203.822,1207.182,1202.473,-0.4015
mixed,8,1,0.125,4.0,16,8192,2048,8192,2816,1206.127,1221.74,1207.983,0.1189
mixed,8,1,0.125,4.0,16,8192,8192,32768,11264,1661.097,4697.404,4605.117,0.9696
mixed,8,1,0.125,4.0,16,20480,128,512,176,2907.48,2907.96,2902.489,-10.3979
mixed,8,1,0.125,4.0,16,20480,512,2048,704,2913.527,2911.972,2905.336,
mixed,8,1,0.125,4.0,16,20480,2048,8192,2816,2914.037,2924.82,2906.646,-0.6854
mixed,8,1,0.125,4.0,16,20480,8192,32768,11264,2919.446,4700.316,4615.453,0.9523
mixed,8,1,0.125,4.0,64,0,128,512,176,82.014,136.063,131.36,0.913
mixed,8,1,0.125,4.0,64,0,512,2048,704,157.854,356.571,347.548,0.9546
mixed,8,1,0.125,4.0,64,0,2048,8192,2816,461.914,1218.479,1203.342,0.98
mixed,8,1,0.125,4.0,64,0,8192,32768,11264,1654.247,4690.612,4607.293,0.9726
mixed,8,1,0.125,4.0,64,512,128,512,176,137.023,140.159,137.951,0.2959
mixed,8,1,0.125,4.0,64,512,512,2048,704,158.014,354.78,346.842,0.9597
mixed,8,1,0.125,4.0,64,512,2048,8192,2816,462.684,1222.446,1198.798,0.9689
mixed,8,1,0.125,4.0,64,512,8192,32768,11264,1654.377,4703.166,4613.31,0.9705
mixed,8,1,0.125,4.0,64,2048,128,512,176,350.746,351.74,349.147,-1.6087
mixed,8,1,0.125,4.0,64,2048,512,2048,704,353.66,359.515,354.555,0.1529
mixed,8,1,0.125,4.0,64,2048,2048,8192,2816,461.593,1221.133,1197.295,0.9686
mixed,8,1,0.125,4.0,64,2048,8192,32768,11264,1655.752,4706.366,4605.408,0.9669
mixed,8,1,0.125,4.0,64,8192,128,512,176,1205.294,1206.287,1201.997,-3.3202
mixed,8,1,0.125,4.0,64,8192,512,2048,704,1207.407,1209.429,1209.652,1.1103
mixed,8,1,0.125,4.0,64,8192,2048,8192,2816,1214.096,1227.023,1214.735,0.0494
mixed,8,1,0.125,4.0,64,8192,8192,32768,11264,1660.297,4714.236,4624.256,0.9705
mixed,8,1,0.125,4.0,64,20480,128,512,176,2909.687,2917.431,2919.671,1.2893
mixed,8,1,0.125,4.0,64,20480,512,2048,704,2930.646,2918.793,2925.048,
mixed,8,1,0.125,4.0,64,20480,2048,8192,2816,2925.747,2918.26,2927.447,
mixed,8,1,0.125,4.0,64,20480,8192,32768,11264,2926.712,4696.734,4619.677,0.9565
mixed,8,1,0.125,4.0,256,0,128,512,176,99.102,152.126,127.327,0.5323
mixed,8,1,0.125,4.0,256,0,512,2048,704,172.798,379.869,310.652,0.6657
mixed,8,1,0.125,4.0,256,0,2048,8192,2816,495.065,1284.334,934.93,0.5573
mixed,8,1,0.125,4.0,256,0,8192,32768,11264,1729.225,4830.458,3904.618,0.7015
mixed,8,1,0.125,4.0,256,512,128,512,176,165.436,169.726,167.101,0.3881
mixed,8,1,0.125,4.0,256,512,512,2048,704,175.613,376.667,336.187,0.7987
mixed,8,1,0.125,4.0,256,512,2048,8192,2816,492.406,1276.718,937.046,0.5669
mixed,8,1,0.125,4.0,256,512,8192,32768,11264,1733.0,4845.916,3515.514,0.5726
mixed,8,1,0.125,4.0,256,2048,128,512,176,376.859,376.955,378.811,20.3333
mixed,8,1,0.125,4.0,256,2048,512,2048,704,379.9,386.426,379.451,-0.0688
mixed,8,1,0.125,4.0,256,2048,2048,8192,2816,493.849,1273.197,1023.922,0.6801
mixed,8,1,0.125,4.0,256,2048,8192,32768,11264,1731.465,4854.042,3868.106,0.6843
mixed,8,1,0.125,4.0,256,8192,128,512,176,1223.309,1226.062,1225.103,0.6517
mixed,8,1,0.125,4.0,256,8192,512,2048,704,1225.999,1227.982,1226.028,0.0146
mixed,8,1,0.125,4.0,256,8192,2048,8192,2816,1228.271,1291.02,1240.877,0.2009
mixed,8,1,0.125,4.0,256,8192,8192,32768,11264,1734.151,4849.564,3533.933,0.5777
mixed,8,1,0.125,4.0,256,20480,128,512,176,2942.494,2940.214,2954.2,
mixed,8,1,0.125,4.0,256,20480,512,2048,704,2946.82,2929.239,2932.889,
mixed,8,1,0.125,4.0,256,20480,2048,8192,2816,2940.441,2946.998,2931.54,-1.3575
mixed,8,1,0.125,4.0,256,20480,8192,32768,11264,2943.316,4829.31,4106.789,0.6169
mixed,8,1,0.125,4.0,1024,0,128,512,176,313.243,338.365,321.435,0.3261
mixed,8,1,0.125,4.0,1024,0,512,2048,704,336.762,562.873,450.617,0.5035
mixed,8,1,0.125,4.0,1024,0,2048,8192,2816,663.223,1435.308,1206.869,0.7041
mixed,8,1,0.125,4.0,1024,0,8192,32768,11264,1901.316,4974.745,4003.881,0.6841
mixed,8,1,0.125,4.0,1024,512,128,512,176,444.506,459.354,421.819,-1.5279
mixed,8,1,0.125,4.0,1024,512,512,2048,704,477.115,647.16,533.783,0.3333
mixed,8,1,0.125,4.0,1024,512,2048,8192,2816,788.084,1545.092,1302.286,0.6793
mixed,8,1,0.125,4.0,1024,512,8192,32768,11264,1963.587,5056.565,4324.673,0.7634
mixed,8,1,0.125,4.0,1024,2048,128,512,176,830.1,841.811,860.214,2.5714
mixed,8,1,0.125,4.0,1024,2048,512,2048,704,857.843,865.778,850.068,-0.9798
mixed,8,1,0.125,4.0,1024,2048,2048,8192,2816,941.588,1904.008,1370.957,0.4461
mixed,8,1,0.125,4.0,1024,2048,8192,32768,11264,2358.773,5497.843,4040.422,0.5357
mixed,8,1,0.125,4.0,1024,8192,128,512,176,2381.696,2473.597,2375.325,-0.0693
mixed,8,1,0.125,4.0,1024,8192,512,2048,704,2301.47,2475.228,2432.158,0.7521
mixed,8,1,0.125,4.0,1024,8192,2048,8192,2816,2498.911,2599.066,2501.086,0.0217
mixed,8,1,0.125,4.0,1024,8192,8192,32768,11264,3119.729,6797.504,4768.799,0.4484
mixed,8,1,0.125,4.0,1024,20480,128,512,176,4971.29,5004.41,4933.376,-1.1447
mixed,8,1,0.125,4.0,1024,20480,512,2048,704,5000.822,5224.919,5034.588,0.1507
mixed,8,1,0.125,4.0,1024,20480,2048,8192,2816,5336.342,5484.049,5443.985,0.7288
mixed,8,1,0.125,4.0,1024,20480,8192,32768,11264,5917.481,8801.539,6875.362,0.3321
mixed,8,1,0.125,4.0,2048,0,128,512,176,722.869,771.606,711.353,-0.2363
mixed,8,1,0.125,4.0,2048,0,512,2048,704,774.963,904.531,778.037,0.0237
mixed,8,1,0.125,4.0,2048,0,2048,8192,2816,1048.945,1885.318,1482.568,0.5185
mixed,8,1,0.125,4.0,2048,0,8192,32768,11264,2352.191,5424.626,4246.403,0.6165
mixed,8,1,0.125,4.0,2048,512,128,512,176,904.854,944.466,928.915,0.6074
mixed,8,1,0.125,4.0,2048,512,512,2048,704,957.586,1065.49,956.466,-0.0104
mixed,8,1,0.125,4.0,2048,512,2048,8192,2816,1197.902,2051.748,1563.915,0.4287
mixed,8,1,0.125,4.0,2048,512,8192,32768,11264,2491.612,5567.183,4795.068,0.749
mixed,8,1,0.125,4.0,2048,2048,128,512,176,1533.418,1532.843,1500.299,
mixed,8,1,0.125,4.0,2048,2048,512,2048,704,1547.178,1631.082,1558.027,0.1293
mixed,8,1,0.125,4.0,2048,2048,2048,8192,2816,1665.129,2633.083,2051.076,0.3987
mixed,8,1,0.125,4.0,2048,2048,8192,32768,11264,3222.322,6290.889,5128.424,0.6212
mixed,8,1,0.125,4.0,2048,8192,128,512,176,3985.641,3995.46,3992.611,0.7098
mixed,8,1,0.125,4.0,2048,8192,512,2048,704,4018.376,4055.307,3991.91,-0.7166
mixed,8,1,0.125,4.0,2048,8192,2048,8192,2816,4087.206,4195.941,4091.699,0.0413
mixed,8,1,0.125,4.0,2048,8192,8192,32768,11264,4885.273,8771.72,6640.225,0.4516
mixed,8,1,0.125,4.0,2048,20480,128,512,176,8107.913,8172.334,8138.471,0.4743
mixed,8,1,0.125,4.0,2048,20480,512,2048,704,8185.674,8958.525,8181.034,-0.006
mixed,8,1,0.125,4.0,2048,20480,2048,8192,2816,9047.04,9118.846,9016.957,-0.4189
mixed,8,1,0.125,4.0,2048,20480,8192,32768,11264,9203.896,12146.577,10116.244,0.31
pure,8,2,0.25,4.0,0,0,128,512,224,106.622,131.393,120.032,0.5414
pure,8,2,0.25,4.0,0,0,512,2048,896,151.678,192.479,156.99,0.1302
pure,8,2,0.25,4.0,0,0,2048,8192,3584,246.46,414.204,289.469,0.2564
pure,8,2,0.25,4.0,0,0,8192,32768,14336,620.408,1253.261,791.924,0.271
mixed,8,2,0.25,4.0,16,0,128,512,224,80.96,137.597,131.358,0.8898
mixed,8,2,0.25,4.0,16,0,512,2048,896,190.27,353.628,347.483,0.9624
mixed,8,2,0.25,4.0,16,0,2048,8192,3584,571.608,1216.72,1207.821,0.9862
mixed,8,2,0.25,4.0,16,0,8192,32768,14336,2085.473,4687.616,4648.256,0.9849
mixed,8,2,0.25,4.0,16,512,128,512,224,133.63,137.183,133.212,-0.1176
mixed,8,2,0.25,4.0,16,512,512,2048,896,189.949,353.723,348.093,0.9656
mixed,8,2,0.25,4.0,16,512,2048,8192,3584,568.759,1217.55,1205.839,0.9819
mixed,8,2,0.25,4.0,16,512,8192,32768,14336,2090.757,4690.08,4645.92,0.983
mixed,8,2,0.25,4.0,16,2048,128,512,224,345.915,348.764,345.883,-0.0112
mixed,8,2,0.25,4.0,16,2048,512,2048,896,350.14,352.731,351.322,0.4562
mixed,8,2,0.25,4.0,16,2048,2048,8192,3584,567.735,1220.75,1207.886,0.9803
mixed,8,2,0.25,4.0,16,2048,8192,32768,14336,2088.93,4695.985,4646.24,0.9809
mixed,8,2,0.25,4.0,16,8192,128,512,224,1200.789,1202.031,1197.904,-2.3229
mixed,8,2,0.25,4.0,16,8192,512,2048,896,1207.79,1198.03,1199.977,
mixed,8,2,0.25,4.0,16,8192,2048,8192,3584,1202.447,1231.728,1209.04,0.2252
mixed,8,2,0.25,4.0,16,8192,8192,32768,14336,2095.106,4704.122,4646.491,0.9779
mixed,8,2,0.25,4.0,16,20480,128,512,224,2912.217,2901.046,2897.558,
mixed,8,2,0.25,4.0,16,20480,512,2048,896,2915.095,2909.846,2897.624,
mixed,8,2,0.25,4.0,16,20480,2048,8192,3584,2918.741,2911.893,2917.316,
