prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,13.9843
0,0,1,32,14.059
0,0,1,64,14.1977
0,0,1,128,19.222
0,0,1,256,19.4453
0,0,1,512,19.8933
0,0,1,1024,20.7257
0,0,1,2048,22.742
0,0,1,4096,26.5713
0,0,1,8192,41.3993
0,0,1,16384,57.344
0,0,1,32768,88.847
0,0,2,16,20.17
0,0,2,32,20.203
0,0,2,64,20.332
0,0,2,128,23.787
0,0,2,256,23.999
0,0,2,512,24.6187
0,0,2,1024,25.876
0,0,2,2048,28.725
0,0,2,4096,41.1203
0,0,2,8192,56.8673
0,0,2,16384,83.6267
0,0,2,32768,134.023
0,0,4,16,20.267
0,0,4,32,20.3303
0,0,4,64,20.48
0,0,4,128,23.9257
0,0,4,256,24.3947
0,0,4,512,25.2167
0,0,4,1024,27.413
0,0,4,2048,38.763
0,0,4,4096,53.7173
0,0,4,8192,78.736
0,0,4,16384,129.003
0,0,4,32768,216.748
0,0,8,16,20.171
0,0,8,32,20.15
0,0,8,64,20.4157
0,0,8,128,24.0957
0,0,8,256,24.8117
0,0,8,512,26.6033
0,0,8,1024,37.4283
0,0,8,2048,51.5623
0,0,8,4096,76.7257
0,0,8,8192,126.375
0,0,8,16384,213.387
0,0,8,32768,388.757
0,0,16,16,20.1067
0,0,16,32,20.2673
0,0,16,64,20.6507
0,0,16,128,24.6717
0,0,16,256,32.0313
0,0,16,512,36.8543
0,0,16,1024,50.8807
0,0,16,2048,76.4907
0,0,16,4096,115.148
0,0,16,8192,190.634
0,0,16,16384,354.263
0,0,16,32768,680.88
0,0,32,16,20.9387
0,0,32,32,21.2803
0,0,32,64,21.9193
0,0,32,128,33.344
0,0,32,256,45.8027
0,0,32,512,56.95
0,0,32,1024,80.736
0,0,32,2048,129.835
0,0,32,4096,206.753
0,0,32,8192,359.774
0,0,32,16384,685.495
0,0,32,32768,1336.52
0,0,64,16,28.822
0,0,64,32,29.2907
0,0,64,64,30.2407
0,0,64,128,42.337
0,0,64,256,55.7337
0,0,64,512,91.798
0,0,64,1024,134.625
0,0,64,2048,218.797
0,0,64,4096,380.492
0,0,64,8192,698.332
0,0,64,16384,1342.91
0,0,64,32768,2631.17
0,0,128,16,45.0347
0,0,128,32,45.5257
0,0,128,64,47.3497
0,0,128,128,70.635
0,0,128,256,96.1597
0,0,128,512,145.996
0,0,128,1024,247.084
0,0,128,2048,450.168
0,0,128,4096,851.161
0,0,128,8192,1662.12
0,0,128,16384,3264.74
0,0,128,32768,6490.52
0,0,256,16,70.5707
0,0,256,32,72.6403
0,0,256,64,74.8063
0,0,256,128,114.379
0,0,256,256,158.913
0,0,256,512,247.362
0,0,256,1024,424.727
0,0,256,2048,777.209
0,0,256,4096,1481.67
0,0,256,8192,2906.59
0,0,256,16384,5718.25
0,0,256,32768,11353.6
16,0,0,0,14.7417
16,0,1,16,14.4963
16,0,1,32,14.4857
16,0,1,64,14.5393
16,0,1,128,19.477
16,0,1,256,25.472
16,0,1,512,37.2803
16,0,1,1024,61.4827
16,0,1,2048,109.633
16,0,1,4096,206.411
16,0,1,8192,398.656
16,0,1,16384,783.863
16,0,1,32768,1556.35
16,0,2,16,14.4213
16,0,2,32,14.443
16,0,2,64,14.4747
16,0,2,128,19.5623
16,0,2,256,25.5257
16,0,2,512,37.3977
16,0,2,1024,61.5797
16,0,2,2048,109.953
16,0,2,4096,206.753
16,0,2,8192,399.243
16,0,2,16384,784.407
16,0,2,32768,1556.71
16,0,4,16,14.56
16,0,4,32,14.5173
16,0,4,64,14.624
16,0,4,128,19.68
16,0,4,256,25.5683
16,0,4,512,37.5467
16,0,4,1024,61.792
16,0,4,2048,110.443
16,0,4,4096,207.425
16,0,4,8192,399.158
16,0,4,16384,784.727
16,0,4,32768,1559.06
16,0,8,16,14.6983
16,0,8,32,14.731
16,0,8,64,14.762
16,0,8,128,20
16,0,8,256,26.0907
16,0,8,512,38.197
16,0,8,1024,63.2007
16,0,8,2048,112.224
16,0,8,4096,208.961
16,0,8,8192,402.272
16,0,8,16384,789.484
16,0,8,32768,1562.35
16,0,16,16,22.8807
16,0,16,32,22.9977
16,0,16,64,23.168
16,0,16,128,34.2833
16,0,16,256,46.4857
16,0,16,512,71.627
16,0,16,1024,120.278
16,0,16,2048,217.729
16,0,16,4096,412.536
16,0,16,8192,798.496
16,0,16,16384,1574.04
16,0,16,32768,3123.98
16,0,32,16,38.8483
16,0,32,32,38.9867
16,0,32,64,39.691
16,0,32,128,61.526
16,0,32,256,86.197
16,0,32,512,134.411
16,0,32,1024,232.844
16,0,32,2048,426.53
16,0,32,4096,814.18
16,0,32,8192,1586.6
16,0,32,16384,3142.15
16,0,32,32768,6229.09
16,0,64,16,62.5817
16,0,64,32,63.2
16,0,64,64,64.4687
16,0,64,128,103.276
16,0,64,256,147.019
16,0,64,512,232.833
16,0,64,1024,406.242
16,0,64,2048,749.081
16,0,64,4096,1433.85
16,0,64,8192,2814.4
16,0,64,16384,5590.71
16,0,64,32768,11101
16,0,128,16,110.421
16,0,128,32,111.649
16,0,128,64,114.625
16,0,128,128,191.991
16,0,128,256,273.953
16,0,128,512,436.802
16,0,128,1024,764.964
16,0,128,2048,1426.17
16,0,128,4096,2727.48
16,0,128,8192,5394.38
16,0,128,16384,10622.7
