prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,14.647
0,0,1,32,14.6677
0,0,1,64,14.8063
0,0,1,128,20.0337
0,0,1,256,20.3747
0,0,1,512,21.3987
0,0,1,1024,23.3933
0,0,1,2048,35.0957
0,0,1,4096,49.5927
0,0,1,8192,67.189
0,0,1,16384,112.043
0,0,1,32768,205.42
0,0,2,16,20.1507
0,0,2,32,20.204
0,0,2,64,20.4173
0,0,2,128,23.9907
0,0,2,256,24.78
0,0,2,512,26.7113
0,0,2,1024,37.0587
0,0,2,2048,51.6833
0,0,2,4096,76.4317
0,0,2,8192,125.696
0,0,2,16384,212.545
0,0,2,32768,382.466
0,0,4,16,20.354
0,0,4,32,20.5143
0,0,4,64,20.94
0,0,4,128,24.567
0,0,4,256,31.9387
0,0,4,512,36.7813
0,0,4,1024,51.011
0,0,4,2048,75.429
0,0,4,4096,113
0,0,4,8192,188.598
0,0,4,16384,352.951
0,0,4,32768,677.848
0,0,8,16,20.951
0,0,8,32,21.356
0,0,8,64,21.9537
0,0,8,128,33.1753
0,0,8,256,45.711
0,0,8,512,56.2603
0,0,8,1024,79.7817
0,0,8,2048,127.614
0,0,8,4096,202.338
0,0,8,8192,358.636
0,0,8,16384,674.552
0,0,8,32768,1313.65
0,0,16,16,29.164
0,0,16,32,29.5273
0,0,16,64,30.594
0,0,16,128,41.5077
0,0,16,256,54.6913
0,0,16,512,90.2553
0,0,16,1024,132.351
0,0,16,2048,214.286
0,0,16,4096,376.388
0,0,16,8192,697.208
0,0,16,16384,1323.87
0,0,16,32768,2580.04
0,0,32,16,44.568
0,0,32,32,45.0687
0,0,32,64,46.7447
0,0,32,128,69.6047
0,0,32,256,94.7793
0,0,32,512,143.871
0,0,32,1024,245.349
0,0,32,2048,444.52
0,0,32,4096,846.04
0,0,32,8192,1646.58
0,0,32,16384,3243.94
0,0,32,32768,6409.77
0,0,64,16,69.018
0,0,64,32,70.8517
0,0,64,64,72.559
0,0,64,128,111.742
0,0,64,256,156.031
0,0,64,512,244.272
0,0,64,1024,421.628
0,0,64,2048,772.328
0,0,64,4096,1475.54
0,0,64,8192,2899.83
0,0,64,16384,5726.32
0,0,64,32768,11385.6
0,0,128,16,121.949
0,0,128,32,123.304
0,0,128,64,126.686
0,0,128,128,201.592
0,0,128,256,283.944
0,0,128,512,448.498
0,0,128,1024,782.226
0,0,128,2048,1437.76
0,0,128,4096,2758.34
0,0,128,8192,5397.27
0,0,128,16384,10676.1
0,0,256,16,226.521
0,0,256,32,230.17
0,0,256,64,239.93
0,0,256,128,386.221
0,0,256,256,545.22
0,0,256,512,865.795
0,0,256,1024,1503.69
0,0,256,2048,2768.83
0,0,256,4096,5320.44
0,0,256,8192,10410.7
16,0,0,0,14.6897
16,0,1,16,14.924
16,0,1,32,15.009
16,0,1,64,14.934
16,0,1,128,19.841
16,0,1,256,25.7083
16,0,1,512,37.826
16,0,1,1024,61.9667
16,0,1,2048,110.388
16,0,1,4096,207.371
16,0,1,8192,399.895
16,0,1,16384,784.516
16,0,1,32768,1554.91
16,0,2,16,22.8453
16,0,2,32,22.7713
16,0,2,64,23.123
16,0,2,128,29.2447
16,0,2,256,35.314
16,0,2,512,47.4723
16,0,2,1024,71.6407
16,0,2,2048,119.743
16,0,2,4096,215.413
16,0,2,8192,407.073
16,0,2,16384,792.293
16,0,2,32768,1560.82
16,0,4,16,23.1343
16,0,4,32,23.315
16,0,4,64,23.6023
16,0,4,128,34.215
16,0,4,256,46.566
16,0,4,512,70.7237
16,0,4,1024,119.092
16,0,4,2048,216.543
16,0,4,4096,409.846
16,0,4,8192,794.948
16,0,4,16384,1566.02
16,0,4,32768,3112.95
16,0,8,16,38.834
16,0,8,32,39.1853
16,0,8,64,39.7297
16,0,8,128,61.061
16,0,8,256,85.1437
16,0,8,512,132.915
16,0,8,1024,228.595
16,0,8,2048,421.313
16,0,8,4096,804.923
16,0,8,8192,1570.13
16,0,8,16384,3101.44
16,0,8,32768,6167.67
16,0,16,16,62.3193
16,0,16,32,62.9273
16,0,16,64,63.972
16,0,16,128,102.582
16,0,16,256,144.925
16,0,16,512,229.171
16,0,16,1024,398.531
16,0,16,2048,734.595
16,0,16,4096,1406.08
16,0,16,8192,2745.44
16,0,16,16384,5435.76
16,0,16,32768,10865.2
16,0,32,16,109.301
16,0,32,32,110.411
16,0,32,64,113.12
16,0,32,128,186.03
16,0,32,256,264.593
16,0,32,512,420.237
16,0,32,1024,738.18
16,0,32,2048,1363.37
16,0,32,4096,2615.54
16,0,32,8192,5125.01
