layer,sequences,time_us
lm_head,1,1401.65
lm_head,2,1415.51
lm_head,3,1417.34
lm_head,4,1421.71
lm_head,5,1423.23
lm_head,6,1426.42
lm_head,7,1432.44
lm_head,8,1435.83
lm_head,9,1442.47
lm_head,10,1444.15
lm_head,11,1445.65
lm_head,12,1444.69
lm_head,13,1445.34
lm_head,14,1445.13
lm_head,15,1442.77
lm_head,16,1446.09
lm_head,20,1498.54
lm_head,24,1500.43
lm_head,28,1503.26
lm_head,32,1505.02
lm_head,36,1507.72
lm_head,40,1511.39
lm_head,44,1514.34
lm_head,48,1616.39
lm_head,52,1509.36
lm_head,56,1512.15
lm_head,60,1516.92
lm_head,64,1527.1
lm_head,80,2536.46
lm_head,96,2537.51
lm_head,112,2541.16
lm_head,128,2545.2
lm_head,144,3452.34
lm_head,160,3453.1
lm_head,176,3454.74
lm_head,192,4748.91
lm_head,208,4749.92
lm_head,224,4750.9
lm_head,240,4756.86
lm_head,256,4759.23
sampler,1,13.4193
sampler,2,14.0177
sampler,3,14.3053
sampler,4,16.0223
sampler,5,18.199
sampler,6,18.4867
sampler,7,23.9913
sampler,8,24.0543
sampler,9,27.362
sampler,10,29.0047
sampler,11,30.765
sampler,12,32.056
sampler,13,34.3913
sampler,14,38.435
sampler,15,40.2907
sampler,16,42.178
sampler,20,51.62
sampler,24,59.3747
sampler,28,68.197
sampler,32,76.8697
sampler,36,83.803
sampler,40,92.7093
sampler,44,101.329
sampler,48,114.323
sampler,52,111.922
sampler,56,119.208
sampler,60,124.713
sampler,64,142.014
sampler,80,168.918
sampler,96,199.5
sampler,112,225.571
sampler,128,271.122
sampler,144,289.768
sampler,160,318.538
sampler,176,341.313
sampler,192,367.832
sampler,208,396.602
sampler,224,425.361
sampler,240,454.185
sampler,256,511.511
