pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.0789,4
0,n<=128,sr<=15%,kvB<=2k,kp=0,0.048,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.0964,2
0,n<=128,sr<=40%,kvB<=2k,kp=0,-0.0025,1
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.0162,8
0,n<=128,sr<=5%,kvB<=2k,kp=0,0.0189,4
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.018,2
0,n<=128,sr<=70%,kvB<=2k,kp=0,-0.0103,1
0,n<=128,sr>70%,kvB<=1k,kp=0,0.3184,4
0,n<=128,sr>70%,kvB<=2k,kp=0,0.0999,2
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.1548,4
0,n<=16,sr<=15%,kvB<=2k,kp=0,0.1205,2
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.1272,4
0,n<=16,sr<=40%,kvB<=2k,kp=0,0.0696,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.0411,2
0,n<=16,sr<=70%,kvB<=2k,kp=0,-0.0005,1
0,n<=16,sr>70%,kvB<=1k,kp=0,0.0924,4
0,n<=16,sr>70%,kvB<=2k,kp=0,-0.1411,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.9422,2
0,n<=2,sr<=70%,kvB<=2k,kp=0,0.9714,1
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.0778,4
0,n<=256,sr<=15%,kvB<=2k,kp=0,0.0437,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.1185,2
0,n<=256,sr<=40%,kvB<=2k,kp=0,-0.0021,1
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.0047,8
0,n<=256,sr<=5%,kvB<=2k,kp=0,0.006,4
0,n<=256,sr<=70%,kvB<=1k,kp=0,0.0589,2
0,n<=256,sr<=70%,kvB<=2k,kp=0,-0.0073,1
0,n<=256,sr>70%,kvB<=1k,kp=0,0.268,4
0,n<=256,sr>70%,kvB<=2k,kp=0,0.0783,2
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.121,6
0,n<=32,sr<=15%,kvB<=2k,kp=0,0.0778,3
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.132,2
0,n<=32,sr<=40%,kvB<=2k,kp=0,0.0321,1
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.0677,2
0,n<=32,sr<=5%,kvB<=2k,kp=0,0.0775,1
0,n<=32,sr<=70%,kvB<=1k,kp=0,0.0236,2
0,n<=32,sr<=70%,kvB<=2k,kp=0,0.021,1
0,n<=32,sr>70%,kvB<=1k,kp=0,0.2619,4
0,n<=32,sr>70%,kvB<=2k,kp=0,0.1642,2
0,n<=4,sr<=40%,kvB<=1k,kp=0,0.3804,4
0,n<=4,sr<=40%,kvB<=2k,kp=0,0.3296,2
0,n<=4,sr<=70%,kvB<=1k,kp=0,0.5717,2
0,n<=4,sr<=70%,kvB<=2k,kp=0,0.4098,1
0,n<=4,sr>70%,kvB<=1k,kp=0,0.9203,2
0,n<=4,sr>70%,kvB<=2k,kp=0,0.9777,1
