layer,sequences,time_us
lm_head,1,367.782
lm_head,2,383.152
lm_head,3,385.979
lm_head,4,388.55
lm_head,5,389.712
lm_head,6,391.238
lm_head,7,392.464
lm_head,8,393.286
lm_head,9,397.05
lm_head,10,396.806
lm_head,11,398.16
lm_head,12,400.497
lm_head,13,399.344
lm_head,14,400.827
lm_head,15,402.342
lm_head,16,402.929
lm_head,20,397.819
lm_head,24,398.32
lm_head,28,401.2
lm_head,32,402.875
lm_head,36,405.083
lm_head,40,405.584
lm_head,44,406.459
lm_head,48,407.419
lm_head,52,409.03
lm_head,56,410.107
lm_head,60,411.43
lm_head,64,412.87
lm_head,80,473.711
lm_head,96,476.154
lm_head,112,477.252
lm_head,128,486.298
lm_head,144,660.536
lm_head,160,660.728
lm_head,176,662.338
lm_head,192,663.48
lm_head,208,663.928
lm_head,224,664.813
lm_head,240,665.25
lm_head,256,665.88
sampler,1,39.6047
sampler,2,39.6473
sampler,3,39.4987
sampler,4,40.16
sampler,5,39.872
sampler,6,39.8607
sampler,7,40.1163
sampler,8,40.6393
sampler,9,40.4693
sampler,10,40.6177
sampler,11,40.9163
sampler,12,40.7573
sampler,13,41.184
sampler,14,43.4553
sampler,15,44.49
sampler,16,44.5117
sampler,20,45.375
sampler,24,46.7827
sampler,28,49.268
sampler,32,50.432
sampler,36,51.413
sampler,40,52.2017
sampler,44,54.1753
sampler,48,55.349
sampler,52,56.2123
sampler,56,58.6337
sampler,60,59.541
sampler,64,62.3353
sampler,80,75.636
sampler,96,85.13
sampler,112,96.863
sampler,128,107.103
sampler,144,115.786
sampler,160,126.186
sampler,176,136.02
sampler,192,145.886
sampler,208,154.963
sampler,224,169.033
sampler,240,179.016
sampler,256,187.336
